Policy_ID,Trip_Type,Destination,Duration_Days,Premium,Coverage_Amount,Medical_Cover,Trip_Cancellation,Baggage_Loss,Claim_Status,No_Claim_Years
T00041,International,UAE,11,7807.0,343508,Yes,Yes,No,Yes,0
T00042,Domestic,Australia,6,4802.0,250000,Yes,No,No,Yes,2
T00043,Domestic,Europe,27,9049.35,402251,Yes,Yes,No,No,4
T00044,Domestic,UK,18,5901.66,282670,Yes,Yes,No,No,2
T00045,Domestic,Singapore,26,6432.6,536998,No,No,Yes,No,4
T00046,Domestic,India,6,4932.0,133164,Yes,Yes,No,No,0
T00047,International,Singapore,26,5493.88,341966,Yes,No,No,No,1
T00048,Domestic,UK,9,2659.81,144126,Yes,No,No,No,3
T00049,International,India,5,6984.0,502848,Yes,No,No,No,0
T00050,International,UAE,10,3338.41,109957,Yes,No,Yes,No,3
T00051,Domestic,UAE,28,832.51,60786,No,No,No,Yes,5
T00052,Domestic,UAE,5,8737.68,641952,Yes,Yes,Yes,No,1
T00053,International,Europe,1,4838.26,315968,Yes,No,No,No,1
T00054,International,Singapore,10,854.0,38430,Yes,No,No,No,0
T00055,Domestic,UK,27,815.36,17472,Yes,Yes,No,No,1
T00056,International,Singapore,11,7110.54,400868,Yes,Yes,No,No,4
T00057,International,India,1,3632.86,255783,Yes,No,No,No,1
T00058,International,UK,23,8940.38,389459,Yes,No,No,No,3
T00059,Domestic,Europe,7,8964.85,638175,Yes,Yes,Yes,Yes,3
T00060,International,Europe,27,9339.45,595380,No,No,No,No,3
T00061,International,India,27,1565.2,73172,Yes,No,No,No,3
T00062,Domestic,USA,13,8025.53,278432,No,Yes,No,No,4
T00063,Domestic,USA,13,5167.91,161430,Yes,No,No,No,2
T00064,International,UAE,21,5804.08,346734,Yes,No,No,Yes,5
T00065,Domestic,Europe,11,3407.0,241897,Yes,No,No,No,0
T00066,Domestic,Singapore,17,3496.53,278625,Yes,No,Yes,No,3
T00067,International,Australia,23,7339.22,157269,Yes,Yes,No,No,1
T00068,Domestic,USA,9,5633.03,281295,Yes,No,No,No,3
T00069,Domestic,Singapore,17,8162.42,516398,Yes,Yes,No,No,1
T00070,International,UAE,13,7910.21,201273,Yes,No,Yes,Yes,5
T00071,International,Australia,16,6941.21,468419,No,No,No,No,5
T00072,International,Singapore,11,2986.55,251104,Yes,Yes,No,No,5
T00073,Domestic,India,10,7183.4,146600,Yes,No,Yes,Yes,1
T00074,International,USA,2,7874.01,518692,Yes,No,No,No,3
T00075,International,UK,21,2283.3,63150,Yes,No,No,Yes,5
T00076,International,Australia,1,5918.84,282348,Yes,Yes,No,Yes,4
T00077,International,Europe,22,9072.84,611028,Yes,No,No,No,1
T00078,International,Australia,20,7420.56,552756,Yes,No,No,No,1
T00079,International,USA,11,5331.85,373890,Yes,No,Yes,No,3
T00080,International,UK,9,1528.8,40560,Yes,No,No,Yes,1
T00081,International,UAE,28,7052.08,417368,Yes,No,No,No,1
T00082,International,Europe,23,474.56,30975,Yes,Yes,Yes,No,5
T00083,Domestic,Australia,9,5619.86,471709,No,Yes,Yes,No,3
T00084,Domestic,USA,2,3825.39,181976,Yes,No,No,No,5
T00085,International,UAE,10,3650.94,262535,Yes,No,No,No,5
T00086,Domestic,UK,8,5908.8,320178,Yes,No,No,No,3
T00087,International,India,21,2709.0,157122,Yes,No,Yes,No,0
T00088,International,Australia,18,3399.65,124113,No,No,No,Yes,5
T00089,International,Europe,6,3407.23,118208,Yes,No,No,No,4
T00090,Domestic,UK,12,3812.15,82660,Yes,No,No,Yes,4
T00091,International,Europe,25,9038.54,276690,Yes,Yes,No,No,1
T00092,International,Europe,22,6505.46,218643,Yes,No,No,No,4
T00093,Domestic,Singapore,1,1702.26,119853,Yes,No,No,No,1
T00094,International,Australia,2,6945.0,138900,No,No,No,No,0
T00095,International,India,21,3948.3,310430,Yes,No,No,Yes,3
T00096,Domestic,Singapore,29,2781.22,70920,Yes,Yes,No,No,3
T00097,International,UAE,27,5586.92,433328,Yes,No,No,No,3
T00098,Domestic,Singapore,22,2353.88,199056,Yes,No,No,No,4
T00099,International,Europe,6,3998.0,219890,Yes,Yes,Yes,No,0
T00100,International,Australia,17,7105.92,439128,Yes,Yes,No,No,4
T00101,Domestic,Singapore,8,5156.96,436098,Yes,No,No,No,4
T00102,International,Australia,20,5972.0,292628,Yes,No,No,No,0
T00103,Domestic,USA,5,8521.0,511260,Yes,No,No,No,0
T00104,International,USA,6,3427.0,195339,Yes,No,No,No,0
T00105,International,Singapore,12,2404.0,146644,Yes,No,No,No,0
T00106,International,UAE,15,8720.14,287215,Yes,Yes,No,Yes,3
T00107,International,UK,18,2540.26,150765,Yes,Yes,Yes,No,2
T00108,Domestic,UAE,7,873.96,69160,Yes,Yes,No,No,2
T00109,International,India,3,4364.0,100372,Yes,Yes,Yes,No,0
T00110,Domestic,USA,11,557.03,33060,Yes,No,No,No,2
T00111,Domestic,USA,20,6654.61,277160,No,No,No,Yes,2
T00112,International,USA,26,1626.0,121950,No,No,No,No,0
T00113,Domestic,Singapore,27,9428.25,265059,Yes,Yes,No,No,2
T00114,Domestic,USA,6,646.58,21030,Yes,No,No,No,4
T00115,Domestic,UK,26,4828.46,339963,No,No,No,Yes,1
T00116,International,Europe,20,3122.28,184788,Yes,No,No,Yes,1
T00117,Domestic,UAE,20,4715.0,216890,Yes,Yes,Yes,No,0
T00118,Domestic,India,2,1388.26,95875,Yes,Yes,No,No,3
T00119,International,Singapore,17,8760.0,464280,Yes,No,No,No,0
T00120,Domestic,Australia,15,3771.36,164287,Yes,Yes,No,No,3
T00121,Domestic,USA,20,3756.34,237646,Yes,No,No,No,1
T00122,International,Europe,12,2274.0,68220,Yes,No,Yes,No,0
T00123,Domestic,Singapore,15,1717.45,136800,Yes,No,Yes,No,5
T00124,International,UAE,11,5733.44,416472,Yes,No,No,Yes,4
T00125,International,UAE,17,3562.12,140942,Yes,Yes,No,No,2
T00126,Domestic,Europe,14,7096.59,377000,Yes,No,No,No,3
T00127,International,Australia,12,2503.86,196670,Yes,No,Yes,Yes,5
T00128,International,USA,28,6539.36,503866,Yes,Yes,Yes,No,2
T00129,International,UK,8,1067.0,36663,Yes,Yes,No,No,2
T00130,International,India,1,7456.0,424992,Yes,No,No,No,0
T00131,International,India,21,3775.33,106137,No,Yes,No,No,2
T00132,International,Singapore,2,3913.61,322468,Yes,Yes,No,Yes,4
T00133,International,USA,22,2579.79,151262,Yes,Yes,No,Yes,5
T00134,International,UAE,22,2392.36,194298,Yes,Yes,No,No,2
T00135,Domestic,Europe,11,6036.0,452700,Yes,Yes,No,No,0
T00136,Domestic,Europe,8,5162.49,162313,Yes,No,No,No,4
T00137,International,Australia,29,9692.2,474720,Yes,No,Yes,No,1
T00138,Domestic,UAE,2,2976.61,171236,Yes,No,No,No,5
T00139,International,UK,10,8857.77,276690,Yes,No,Yes,No,2
T00140,International,Singapore,20,568.0,32944,Yes,Yes,No,No,0
T00141,International,UAE,5,2390.22,99999,Yes,No,No,No,1
T00142,Domestic,UAE,13,9055.2,332640,Yes,No,Yes,No,1
T00143,International,Australia,3,5850.45,453768,Yes,No,Yes,No,3
T00144,Domestic,UK,16,6251.81,535462,Yes,No,No,No,4
T00145,Domestic,UAE,21,7750.43,258240,Yes,No,No,No,2
T00146,International,USA,5,2463.0,118224,Yes,No,No,No,0
T00147,International,Singapore,5,3841.95,257166,No,No,No,No,3
T00148,International,UAE,6,4087.01,137361,Yes,No,No,No,4
T00149,International,USA,12,6360.58,513608,Yes,No,Yes,No,3
T00150,Domestic,Europe,24,1549.32,102840,Yes,Yes,Yes,Yes,5
T00151,International,USA,6,5408.77,269744,Yes,Yes,No,No,4
T00152,International,USA,28,4450.43,289500,Yes,Yes,No,No,4
T00153,International,Europe,3,3702.34,219735,Yes,No,No,No,2
T00154,Domestic,Singapore,26,5737.13,199040,Yes,No,Yes,No,4
T00155,Domestic,Singapore,3,8296.61,493640,Yes,No,No,No,3
T00156,International,Australia,23,9053.97,696936,Yes,No,Yes,No,4
T00157,Domestic,Singapore,25,9525.25,773604,Yes,No,No,No,2
T00158,International,Australia,9,6707.43,446976,Yes,Yes,No,Yes,2
T00159,International,USA,23,2778.65,230550,Yes,No,Yes,No,5
T00160,International,Australia,8,1095.55,50052,Yes,No,No,No,3
T00161,Domestic,Australia,15,3506.44,153854,Yes,No,Yes,No,1
T00162,International,India,11,9050.3,369400,Yes,No,Yes,No,1
T00163,International,Singapore,24,5819.22,460557,Yes,No,No,No,4
T00164,International,USA,3,8013.26,691470,Yes,Yes,Yes,No,5
T00165,International,Australia,17,9186.0,431742,Yes,Yes,Yes,No,0
T00166,International,UAE,3,8805.85,238675,Yes,No,No,No,4
T00167,Domestic,Australia,28,4685.02,274699,Yes,No,No,No,5
T00168,Domestic,UK,7,4502.66,315744,Yes,No,No,No,3
T00169,Domestic,Singapore,4,7771.42,355051,Yes,Yes,No,No,3
T00170,International,USA,22,6125.28,130160,Yes,No,Yes,No,3
T00171,International,Australia,19,5756.33,477048,Yes,Yes,No,No,3
T00172,Domestic,Europe,29,3813.71,117508,Yes,Yes,No,No,3
T00173,International,Australia,19,1066.63,66080,Yes,No,No,No,5
T00174,Domestic,India,19,7088.55,164682,Yes,Yes,No,No,5
T00175,Domestic,UK,3,1495.34,60723,Yes,No,No,No,2
T00176,International,UK,8,9238.46,207394,Yes,No,No,Yes,1
T00177,Domestic,USA,22,1688.5,98670,Yes,No,No,No,3
T00178,Domestic,Australia,14,4908.0,107976,No,Yes,Yes,Yes,0
T00179,International,UK,25,5618.77,273504,Yes,No,No,No,5
T00180,Domestic,Australia,26,4159.0,103975,Yes,No,Yes,No,0
T00181,Domestic,Europe,21,6587.0,243719,Yes,No,No,No,0
T00182,International,Singapore,13,6000.0,450000,Yes,No,No,No,0
T00183,Domestic,UAE,4,4923.01,389576,Yes,Yes,No,No,2
T00184,International,India,24,5623.29,410586,Yes,No,No,No,5
T00185,Domestic,UK,23,8541.0,384345,Yes,Yes,No,Yes,0
T00186,International,Europe,6,1112.49,81558,No,No,No,Yes,3
T00187,International,India,23,3309.46,247572,No,Yes,No,No,4
T00188,International,UK,18,9751.0,731325,Yes,Yes,Yes,No,0
T00189,International,UAE,8,8505.3,256824,Yes,Yes,No,Yes,2
T00190,International,UAE,24,5033.03,334080,Yes,No,No,No,5
T00191,Domestic,Australia,15,8455.36,255316,Yes,No,No,Yes,2
T00192,Domestic,Europe,17,4133.0,119857,Yes,No,No,No,0
T00193,International,USA,15,1068.43,73284,Yes,No,No,Yes,5
T00194,Domestic,Australia,1,7578.18,640848,Yes,No,No,No,4
T00195,International,Europe,22,9722.0,515266,No,Yes,No,No,0
T00196,International,Europe,3,4509.08,323955,Yes,No,No,No,2
T00197,Domestic,UK,9,3697.54,105644,Yes,No,Yes,No,1
T00198,International,India,12,6810.47,217080,Yes,No,No,No,3
T00199,International,USA,8,5938.15,432810,Yes,No,No,Yes,2
T00200,Domestic,Singapore,11,2801.25,105366,No,No,No,No,5
T00201,International,Australia,20,2890.0,153170,Yes,Yes,No,Yes,0
T00202,International,UAE,11,2802.87,89340,Yes,No,No,No,3
T00203,Domestic,USA,28,9948.0,427764,Yes,No,No,No,0
T00204,International,India,24,6572.41,516241,Yes,No,No,No,5
T00205,International,UAE,17,3530.0,120020,Yes,No,Yes,No,0
T00206,International,USA,16,2906.68,83048,No,No,No,No,1
T00207,International,Singapore,25,2836.75,111518,Yes,No,No,No,3
T00208,Domestic,UAE,12,1758.15,102740,No,No,No,No,3
T00209,Domestic,UAE,12,7571.24,611448,Yes,No,Yes,No,5
T00210,International,Australia,22,7076.58,180525,No,Yes,No,No,1
T00211,International,Australia,26,9312.04,252096,Yes,No,No,No,2
T00212,Domestic,UK,25,8495.0,535185,Yes,No,No,No,0
T00213,International,Singapore,20,3308.53,132719,Yes,Yes,No,No,4
T00214,International,UAE,26,8668.0,520080,Yes,Yes,No,No,0
T00215,International,UAE,13,7152.0,307536,Yes,No,No,No,0
T00216,International,Singapore,22,3308.58,189475,No,Yes,No,No,2
T00217,International,Europe,22,7887.0,528429,Yes,Yes,No,Yes,0
T00218,International,USA,23,4635.4,170280,Yes,No,No,No,1
T00219,International,Europe,8,8356.46,392242,Yes,No,No,No,1
T00220,Domestic,Australia,1,632.48,13440,Yes,Yes,No,No,3
T00221,International,Australia,15,498.96,35328,No,No,No,No,5
T00222,International,Australia,15,6827.37,214658,Yes,No,Yes,No,4
T00223,Domestic,India,23,6429.0,327879,Yes,No,Yes,No,0
T00224,International,Australia,18,9369.0,459081,No,No,No,No,0
T00225,Domestic,India,13,7455.59,613277,Yes,No,Yes,No,2
T00226,International,USA,22,3245.08,143600,Yes,No,Yes,No,5
T00227,International,USA,29,3557.4,279510,Yes,Yes,No,Yes,1
T00228,International,Europe,23,1369.72,32670,Yes,No,No,No,4
T00229,International,Europe,27,5082.44,415800,Yes,No,Yes,No,3
T00230,International,Singapore,11,3590.72,282128,Yes,No,No,No,1
T00231,International,UAE,5,4289.1,294190,Yes,No,Yes,No,5
T00232,International,UK,9,1519.08,69402,Yes,No,No,No,3
T00233,Domestic,UAE,6,5401.29,224960,Yes,No,No,No,2
T00234,Domestic,USA,12,4186.38,248463,Yes,No,Yes,Yes,2
T00235,International,UAE,16,765.0,20655,Yes,Yes,No,No,0
T00236,International,UK,17,3308.35,183000,Yes,No,Yes,No,5
T00237,Domestic,UAE,13,3619.37,231516,Yes,No,No,Yes,4
T00238,International,Singapore,28,7254.71,208116,Yes,No,No,No,3
T00239,Domestic,India,26,3538.78,122774,Yes,No,No,No,1
T00240,International,India,24,7434.75,304325,Yes,Yes,No,Yes,5
T00241,International,UK,19,8034.05,506616,Yes,No,No,No,5
T00242,International,India,24,3619.75,113070,No,Yes,No,Yes,2
T00243,International,UAE,6,2043.0,96021,Yes,No,No,Yes,0
T00244,International,USA,28,5880.0,299880,Yes,No,No,Yes,0
T00245,International,Singapore,9,4438.66,169776,Yes,Yes,No,No,3
T00246,International,India,6,3153.95,124792,Yes,No,Yes,Yes,2
T00247,Domestic,UAE,11,602.92,14674,Yes,No,No,No,5
T00248,International,USA,9,2389.86,75139,Yes,Yes,No,No,4
T00249,Domestic,Singapore,15,1814.2,51003,Yes,Yes,No,No,2
T00250,International,UK,10,6402.93,469407,Yes,No,No,Yes,3
T00251,Domestic,UK,5,919.54,47873,Yes,No,No,No,3
T00252,International,Europe,22,5814.26,163458,Yes,Yes,No,No,2
T00253,International,Australia,23,3774.18,136340,Yes,No,No,Yes,3
T00254,Domestic,Singapore,21,6342.48,488696,Yes,No,No,No,2
T00255,International,Singapore,9,9511.88,475594,Yes,Yes,No,Yes,1
T00256,Domestic,India,3,4426.48,161315,Yes,No,No,No,2
T00257,Domestic,Europe,28,5872.85,140645,Yes,Yes,No,Yes,2
T00258,Domestic,Europe,26,6729.52,257400,Yes,No,No,Yes,3
T00259,Domestic,India,26,6857.52,459018,Yes,No,No,No,3
T00260,International,USA,26,1915.0,45960,Yes,Yes,Yes,No,0
T00261,International,Singapore,6,2278.0,136680,Yes,No,No,No,0
T00262,Domestic,UK,14,8770.02,698022,Yes,No,No,No,1
T00263,International,Singapore,13,8112.0,446160,No,No,Yes,No,0
T00264,International,Australia,8,1353.2,104266,No,No,No,No,2
T00265,Domestic,UK,6,3959.59,214557,Yes,No,Yes,No,3
T00266,Domestic,Singapore,26,8110.0,510930,No,Yes,No,No,0
T00267,International,UAE,15,2869.0,83201,Yes,Yes,No,No,0
T00268,Domestic,UK,7,6417.04,491100,Yes,Yes,Yes,No,1
T00269,International,Australia,17,6259.65,339325,No,No,No,No,5
T00270,International,USA,1,1457.26,55019,Yes,No,No,No,1
T00271,Domestic,UK,16,8393.9,489440,No,No,Yes,No,2
T00272,Domestic,India,15,8924.38,237050,Yes,No,No,No,3
T00273,Domestic,USA,16,4552.1,97545,Yes,No,No,No,1
T00274,International,UK,6,6035.0,168980,Yes,Yes,No,Yes,0
T00275,Domestic,India,8,4458.43,156321,Yes,Yes,Yes,Yes,3
T00276,International,India,18,3907.83,141168,Yes,No,No,No,3
T00277,Domestic,USA,18,6283.0,207339,Yes,Yes,Yes,No,0
T00278,International,USA,3,9026.78,386862,Yes,Yes,No,No,1
T00279,International,Australia,22,5408.0,146016,Yes,No,No,Yes,0
T00280,International,India,5,2033.82,56250,Yes,Yes,No,No,5
T00281,Domestic,India,15,2569.45,109200,Yes,Yes,No,No,3
T00282,International,UAE,1,535.9,16268,Yes,No,No,No,4
T00283,International,USA,13,1535.74,59940,Yes,Yes,No,No,4
T00284,Domestic,India,10,3151.07,111554,Yes,Yes,No,Yes,2
T00285,International,Australia,1,1179.0,41265,Yes,No,Yes,No,0
T00286,Domestic,Australia,18,2114.0,95130,Yes,No,No,No,0
T00287,Domestic,UAE,14,2354.9,83368,Yes,Yes,No,No,2
T00288,Domestic,Australia,7,6605.63,295754,Yes,Yes,No,No,2
T00289,Domestic,UAE,20,662.68,30360,Yes,No,No,No,2
T00290,Domestic,Europe,26,2288.04,136136,Yes,No,No,No,3
T00291,International,Australia,12,1201.31,45186,Yes,Yes,No,Yes,5
T00292,Domestic,USA,15,1795.0,87955,Yes,No,Yes,Yes,0
T00293,International,India,4,3105.93,69300,Yes,Yes,No,No,3
T00294,Domestic,UAE,24,8160.52,348377,Yes,No,No,No,2
T00295,International,UAE,15,5933.0,266985,Yes,Yes,No,No,0
T00296,International,Australia,28,4416.07,206448,Yes,No,Yes,No,3
T00297,International,Australia,12,1342.32,111375,Yes,No,No,No,5
T00298,Domestic,India,9,3589.71,171630,Yes,No,No,No,3
T00299,International,UK,26,6254.23,332112,No,No,No,No,5
T00300,International,India,3,2603.64,195192,Yes,Yes,No,No,2
T00301,Domestic,UAE,14,3149.26,170716,Yes,No,No,Yes,5
T00302,International,UAE,16,5448.0,250608,Yes,Yes,No,No,0
T00303,Domestic,USA,29,2869.68,191232,Yes,No,No,No,2
T00304,Domestic,Singapore,2,6921.0,179946,No,Yes,No,Yes,0
T00305,International,UK,18,662.26,37336,Yes,No,No,No,4
T00306,International,Australia,15,9681.42,296370,Yes,No,Yes,No,1
T00307,International,Singapore,7,6185.53,218976,Yes,No,No,Yes,5
T00308,Domestic,UK,10,2426.48,133704,Yes,Yes,No,No,1
T00309,Domestic,Singapore,27,4849.04,301828,No,Yes,No,No,1
T00310,International,UAE,19,8318.78,717834,Yes,Yes,No,No,5
T00311,Domestic,USA,5,3621.67,294138,Yes,No,No,No,2
T00312,International,Australia,3,4562.03,158272,Yes,No,No,No,4
T00313,Domestic,UAE,1,9459.0,595917,Yes,No,No,Yes,0
T00314,Domestic,USA,16,6342.69,451513,No,No,No,No,3
T00315,Domestic,Australia,1,8533.0,443716,Yes,No,No,No,0
T00316,International,Europe,6,7017.53,499552,No,No,No,No,3
T00317,International,UAE,15,6188.0,420784,Yes,No,No,No,0
T00318,International,Australia,29,8775.26,514524,Yes,Yes,No,No,5
T00319,Domestic,India,24,6244.43,318190,Yes,No,No,No,4
T00320,Domestic,Europe,28,6817.05,282477,Yes,No,Yes,No,3
T00321,International,Singapore,21,4001.99,191682,Yes,No,No,No,2
T00322,International,USA,25,2321.0,118371,Yes,No,No,No,0
T00323,Domestic,Australia,27,6883.0,385448,Yes,No,No,No,0
T00324,Domestic,Australia,8,3832.53,146592,Yes,No,No,No,3
T00325,International,Singapore,26,6850.53,228256,Yes,No,No,Yes,2
T00326,Domestic,UAE,5,8705.07,344432,Yes,No,No,No,2
T00327,International,USA,22,8397.42,213670,Yes,Yes,No,Yes,5
T00328,Domestic,India,6,8075.63,607512,Yes,No,No,Yes,5
T00329,International,India,12,8678.54,288030,Yes,Yes,No,No,5
T00330,International,Europe,21,4159.84,156468,Yes,No,No,Yes,5
T00331,International,India,23,6585.97,378872,Yes,Yes,No,No,5
T00332,Domestic,Singapore,8,2146.81,102125,Yes,No,No,Yes,5
T00333,Domestic,Singapore,24,7727.6,368632,Yes,Yes,No,No,4
T00334,International,UAE,17,2741.94,188430,Yes,Yes,No,No,2
T00335,Domestic,Australia,8,8537.53,453360,Yes,No,No,No,5
T00336,Domestic,UK,7,7637.1,349888,Yes,Yes,No,No,2
T00337,International,Singapore,21,6594.11,460022,Yes,Yes,No,No,2
T00338,International,UK,18,8480.92,536548,Yes,Yes,No,No,1
T00339,International,Australia,22,3883.17,172610,Yes,No,No,Yes,4
T00340,Domestic,Singapore,22,8223.87,218352,No,No,Yes,No,5
T00341,International,India,11,3906.0,105462,Yes,Yes,No,No,0
T00342,International,Europe,8,4741.73,125950,Yes,No,Yes,No,3
T00343,Domestic,UAE,4,7827.0,305253,No,No,No,No,0
T00344,International,Australia,11,5286.09,177661,Yes,Yes,No,No,4
T00345,Domestic,USA,27,5996.33,375889,Yes,No,No,No,3
T00346,Domestic,Europe,8,8065.19,463432,Yes,No,No,No,4
T00347,Domestic,Australia,26,1169.77,46284,Yes,Yes,Yes,Yes,2
T00348,International,Singapore,7,2464.98,185949,Yes,Yes,No,Yes,3
T00349,Domestic,Australia,14,6327.12,217404,No,No,No,No,2
T00350,International,India,11,7136.0,549472,Yes,No,No,No,0
T00351,International,Europe,25,4523.0,104029,Yes,No,No,No,0
T00352,International,Singapore,18,9099.44,609084,Yes,No,No,No,3
T00353,International,Singapore,4,699.31,17089,Yes,No,No,Yes,3
T00354,International,India,20,3387.9,153668,Yes,No,No,No,5
T00355,Domestic,Europe,20,4873.79,174372,Yes,No,No,No,4
T00356,International,USA,15,5574.48,320684,Yes,Yes,No,No,5
T00357,Domestic,Europe,15,7674.1,574080,Yes,No,No,Yes,4
T00358,Domestic,Europe,4,1433.62,44408,Yes,Yes,No,No,5
T00359,Domestic,USA,23,8251.76,549888,Yes,Yes,No,Yes,2
T00360,Domestic,UK,26,3738.41,135048,Yes,No,No,No,3
T00361,Domestic,Australia,23,3745.0,202230,Yes,No,No,No,0
T00362,International,UK,22,4835.98,393225,Yes,Yes,No,No,4
T00363,International,USA,18,7255.35,393300,Yes,No,No,No,4
T00364,International,Singapore,13,822.0,61650,Yes,Yes,No,Yes,0
T00365,International,Europe,23,6040.0,187096,Yes,No,No,No,5
T00366,Domestic,Singapore,16,6902.08,149660,Yes,No,No,No,4
T00367,Domestic,UK,2,8388.13,620114,Yes,No,No,No,2
T00368,International,Australia,29,4764.31,369526,Yes,Yes,Yes,No,3
T00369,International,USA,21,8403.0,394941,Yes,No,No,No,0
T00370,International,Europe,10,6005.75,274383,Yes,Yes,No,No,3
T00371,International,India,4,5318.37,115320,No,No,No,No,4
T00372,International,UAE,8,3923.75,255240,Yes,No,Yes,Yes,4
T00373,Domestic,UK,20,2890.0,89590,Yes,No,No,No,0
T00374,International,India,21,6315.59,197280,Yes,No,No,No,2
T00375,Domestic,Singapore,11,7820.4,295260,Yes,Yes,No,No,1
T00376,Domestic,UAE,24,3516.0,154704,Yes,No,No,No,0
T00377,International,USA,5,7814.52,566154,No,No,No,No,1
T00378,International,Europe,21,1494.18,104139,Yes,Yes,No,No,5
T00379,International,Australia,20,4802.0,362600,Yes,No,No,No,1
T00380,Domestic,Singapore,20,3261.52,156216,Yes,No,No,No,2
T00381,Domestic,Europe,2,8155.17,387946,Yes,Yes,Yes,No,5
T00382,International,Australia,29,7345.1,149900,Yes,No,No,No,1
T00383,International,India,2,6545.29,144820,Yes,Yes,Yes,No,5
T00384,International,UK,23,3953.32,88748,Yes,No,Yes,No,1
T00385,International,USA,21,7582.36,300010,Yes,No,No,No,2
T00386,International,UAE,23,6122.06,381067,Yes,No,No,Yes,1
T00387,Domestic,Singapore,29,6564.04,167450,Yes,No,No,No,1
T00388,International,India,14,3781.82,162078,Yes,No,No,No,1
T00389,International,USA,3,8689.0,503962,Yes,No,No,No,0
T00390,Domestic,USA,29,2469.0,148140,Yes,No,No,No,0
T00391,International,UAE,20,7127.0,163921,Yes,Yes,No,Yes,0
T00392,International,UAE,2,8871.21,212451,Yes,Yes,No,Yes,2
T00393,Domestic,India,23,3109.49,196080,Yes,No,No,No,5
T00394,International,UK,9,3493.01,219646,Yes,No,No,No,4
T00395,International,Europe,25,5463.5,278750,Yes,Yes,No,No,1
T00396,International,Australia,20,6496.42,457401,Yes,No,No,No,1
T00397,Domestic,Europe,20,6794.83,240550,Yes,Yes,Yes,No,2
T00398,International,Australia,28,6111.28,455228,Yes,No,No,Yes,1
T00399,Domestic,USA,16,855.0,35055,Yes,No,No,No,0
T00400,International,India,1,7266.42,480558,Yes,Yes,No,No,4
T00401,International,USA,23,9375.21,547855,Yes,Yes,No,Yes,3
T00402,Domestic,Europe,3,2211.86,101565,Yes,Yes,No,No,1
T00403,Domestic,USA,17,2593.0,150394,No,No,No,No,0
T00404,Domestic,Australia,10,3441.94,193821,Yes,No,No,No,3
T00405,International,USA,16,6194.62,355948,Yes,No,No,No,4
T00406,Domestic,Australia,1,1103.08,65632,Yes,No,No,No,3
T00407,International,Singapore,4,4981.0,268974,Yes,No,Yes,No,0
