Policy_ID,Sub_Type,Business_Type,Employees,Annual_Premium,Coverage_Amount,Risk_Level,Claim_Status,No_Claim_Years
B00054,Professional Indemnity,Manufacturing,189,178849.0,7332809,Medium,No,0
B00055,Workers Compensation,Manufacturing,372,185566.92,6816744,Low,No,1
B00056,Workers Compensation,Retail,138,78564.55,2725664,Low,No,4
B00057,Liability,Healthcare,289,54390.0,777000,High,No,1
B00058,Liability,Retail,90,161320.31,5142000,Low,Yes,3
B00059,Professional Indemnity,Construction,356,130749.45,4862165,High,No,3
B00060,Workers Compensation,Retail,228,108116.61,4824624,Medium,Yes,3
B00061,Workers Compensation,Retail,314,126058.55,5759205,Medium,Yes,3
B00062,Liability,Manufacturing,229,74659.25,3075834,High,Yes,4
B00063,Workers Compensation,Construction,138,185589.62,6570228,Low,No,2
B00064,Workers Compensation,Retail,375,111116.27,4671226,Medium,No,5
B00065,Liability,Construction,151,177812.0,6401232,Medium,No,0
B00066,Workers Compensation,Retail,317,36815.67,1642872,High,No,3
B00067,Professional Indemnity,Retail,358,97465.9,1690735,Medium,No,1
B00068,Workers Compensation,Manufacturing,260,161940.55,1892649,Low,Yes,3
B00069,Workers Compensation,IT,489,170503.34,8351184,Low,No,1
B00070,Liability,Manufacturing,312,176742.73,7039044,Medium,Yes,5
B00071,Workers Compensation,IT,135,96064.18,5207475,Low,No,5
B00072,Workers Compensation,Manufacturing,302,75358.07,3251352,Medium,No,5
B00073,Professional Indemnity,Manufacturing,162,183666.7,5435035,Medium,No,1
B00074,Workers Compensation,Healthcare,213,34456.1,366090,Low,No,3
B00075,Workers Compensation,Healthcare,94,51204.4,1925998,Medium,No,5
B00076,Professional Indemnity,Healthcare,345,160105.59,2430134,Medium,Yes,4
B00077,Professional Indemnity,Retail,192,149129.54,4413017,Low,No,1
B00078,Professional Indemnity,IT,338,129360.0,3168000,Low,Yes,1
B00079,Workers Compensation,Construction,437,153276.88,2279956,High,Yes,3
B00080,Professional Indemnity,Healthcare,74,151417.84,4326224,Low,No,1
B00081,Professional Indemnity,Retail,284,24444.14,249430,Medium,No,1
B00082,Professional Indemnity,IT,317,136267.87,5427072,High,No,5
B00083,Liability,Manufacturing,52,154682.08,7724309,Medium,Yes,3
B00084,Liability,IT,119,51080.56,791140,Medium,Yes,5
B00085,Workers Compensation,Manufacturing,127,98145.91,2823028,Medium,Yes,5
B00086,Liability,Construction,108,141981.64,2715354,High,No,3
B00087,Liability,Construction,192,52714.0,896138,Medium,No,0
B00088,Liability,Construction,262,153193.78,5592741,Low,No,5
B00089,Workers Compensation,Manufacturing,449,63723.65,2694393,High,Yes,4
B00090,Liability,Healthcare,39,38223.86,1408994,Medium,Yes,4
B00091,Workers Compensation,IT,177,39004.98,1233831,Low,Yes,1
B00092,Professional Indemnity,Retail,291,93640.66,4466968,Low,No,4
B00093,Professional Indemnity,IT,425,104071.1,2336290,Low,Yes,1
B00094,Professional Indemnity,Construction,62,21365.0,448665,High,Yes,0
B00095,Workers Compensation,Healthcare,31,187539.09,5379939,Medium,Yes,3
B00096,Liability,Manufacturing,258,182644.9,3687083,Low,No,3
B00097,Professional Indemnity,Healthcare,368,180325.8,4023453,Medium,No,3
B00098,Professional Indemnity,Healthcare,107,148626.72,3383856,Low,Yes,4
B00099,Workers Compensation,Construction,167,77876.0,2881412,Medium,No,0
B00100,Liability,IT,72,173297.3,3194011,Low,No,4
B00101,Workers Compensation,Retail,126,88953.19,4436240,High,No,4
B00102,Liability,IT,479,98076.0,2255748,Low,No,0
B00103,Workers Compensation,Construction,66,65064.0,2147112,Medium,No,0
B00104,Professional Indemnity,IT,474,70521.0,3102924,Low,No,0
B00105,Workers Compensation,Manufacturing,94,69722.0,1464162,Low,No,0
B00106,Workers Compensation,Manufacturing,279,183171.02,7590024,Medium,No,3
B00107,Liability,Healthcare,154,179144.37,5409399,Medium,No,2
B00108,Professional Indemnity,Retail,446,69944.97,1238093,Medium,No,2
B00109,Professional Indemnity,Retail,447,57585.0,863775,Medium,Yes,0
B00110,Workers Compensation,Construction,213,91190.94,1519216,Low,No,2
B00111,Workers Compensation,IT,18,59398.82,2535768,Low,No,2
B00112,Workers Compensation,Construction,463,31423.0,1194074,Medium,No,0
B00113,Liability,Manufacturing,483,25880.86,592856,Medium,Yes,2
B00114,Liability,Healthcare,60,81954.26,1777040,Low,Yes,4
B00115,Professional Indemnity,Construction,236,194771.08,9539808,Low,No,1
B00116,Liability,IT,149,132517.56,5003214,Medium,No,1
B00117,Professional Indemnity,Construction,402,145015.0,1740180,Medium,No,0
B00118,Professional Indemnity,Manufacturing,24,99327.76,3271554,Low,Yes,3
B00119,Professional Indemnity,Construction,298,116828.0,4088980,Medium,No,0
B00120,Professional Indemnity,Retail,178,60087.58,2234470,Medium,Yes,3
B00121,Workers Compensation,Manufacturing,342,48627.6,2282520,High,No,1
B00122,Liability,Retail,65,60742.0,2308196,Medium,No,0
B00123,Workers Compensation,Healthcare,315,164886.9,4560325,Medium,Yes,5
B00124,Professional Indemnity,Healthcare,72,23884.72,673270,Low,Yes,4
B00125,Professional Indemnity,Manufacturing,368,155679.88,7618653,Medium,No,2
B00126,Liability,Retail,181,163005.04,1905090,Medium,No,3
B00127,Professional Indemnity,Construction,388,94454.3,1567410,High,No,5
B00128,Workers Compensation,Manufacturing,442,116798.09,3770034,Low,No,2
B00129,Liability,Construction,15,114295.28,2142144,Low,No,2
B00130,Workers Compensation,IT,170,37487.0,1424506,Low,No,0
B00131,Liability,Construction,293,127824.44,4125945,Medium,No,2
B00132,Liability,Healthcare,52,101775.03,5075686,Low,No,4
B00133,Liability,Manufacturing,9,143063.54,4589830,High,No,5
B00134,Workers Compensation,Healthcare,165,170338.46,4256688,Low,No,2
B00135,Professional Indemnity,Manufacturing,126,122668.0,4784052,Low,No,0
B00136,Liability,Healthcare,496,96050.81,2082700,Medium,Yes,4
B00137,Professional Indemnity,IT,289,161437.36,2470980,Medium,No,1
B00138,Professional Indemnity,Construction,63,122189.3,4731195,Low,No,5
B00139,Workers Compensation,Retail,147,118120.56,5534595,Medium,No,2
B00140,Professional Indemnity,Retail,335,49244.0,1969760,Low,No,0
B00141,Liability,IT,478,149542.12,1983722,Low,No,1
B00142,Liability,Manufacturing,110,79400.58,972252,Medium,No,1
B00143,Workers Compensation,Retail,47,37782.27,1525434,Medium,Yes,3
B00144,Professional Indemnity,Healthcare,165,108615.31,5299065,Low,No,4
B00145,Liability,Healthcare,244,123611.16,5148320,Medium,No,2
B00146,Workers Compensation,Retail,329,75183.0,3308052,Medium,No,0
B00147,Liability,Retail,363,76286.44,2755802,Low,Yes,3
B00148,Professional Indemnity,Manufacturing,498,163576.46,2482816,Medium,No,4
B00149,Professional Indemnity,IT,391,167750.53,2317016,High,No,3
B00150,Workers Compensation,IT,24,54469.36,2289842,Medium,No,5
B00151,Liability,Healthcare,328,136746.61,2965120,Low,Yes,4
B00152,Liability,Manufacturing,310,53762.07,2040045,Medium,Yes,4
B00153,Liability,Manufacturing,456,69789.39,2979347,Medium,No,2
B00154,Liability,IT,112,171175.85,5196324,Medium,No,4
B00155,Liability,Healthcare,376,71269.88,3710427,Medium,No,3
B00156,Professional Indemnity,Retail,156,51828.79,2303831,Medium,No,4
B00157,Workers Compensation,Construction,46,30705.91,1182964,High,No,2
B00158,Liability,Healthcare,433,168654.88,2107308,Low,Yes,2
B00159,Liability,Retail,106,47543.52,1683104,High,No,5
B00160,Workers Compensation,Retail,195,35738.0,1328985,High,Yes,3
B00161,Workers Compensation,Manufacturing,64,167732.88,5990460,High,No,1
B00162,Workers Compensation,Healthcare,226,32594.8,1164100,Medium,Yes,1
B00163,Liability,Retail,211,50110.42,2444760,Medium,No,4
B00164,Workers Compensation,IT,330,40410.68,670590,High,No,5
B00165,Liability,Healthcare,369,106158.0,4883268,Low,No,0
B00166,Professional Indemnity,IT,164,79700.91,3283542,Medium,No,4
B00167,Workers Compensation,Retail,213,171447.56,6638485,Medium,No,5
B00168,Professional Indemnity,Retail,418,21824.36,881144,Medium,No,3
B00169,Liability,Healthcare,245,175310.19,7450560,Medium,No,3
B00170,Workers Compensation,Retail,158,113323.28,1926464,High,No,3
B00171,Workers Compensation,Manufacturing,256,169220.67,6472584,Low,No,3
B00172,Workers Compensation,Manufacturing,460,108823.44,1734345,Low,Yes,3
B00173,Liability,Manufacturing,459,20600.35,478590,Medium,No,5
B00174,Liability,Healthcare,263,179317.1,7538326,Medium,No,5
B00175,Workers Compensation,Healthcare,141,25275.81,1000084,Medium,No,2
B00176,Professional Indemnity,Manufacturing,59,160867.98,4267926,Low,No,1
B00177,Liability,Healthcare,403,155773.86,5296224,Medium,No,3
B00178,Liability,Construction,300,186335.0,3913035,High,No,0
B00179,Professional Indemnity,Construction,417,72535.12,2246860,Medium,No,5
B00180,Workers Compensation,Retail,269,158454.0,4278258,Medium,No,0
B00181,Professional Indemnity,IT,375,41092.0,1068392,High,No,0
B00182,Professional Indemnity,Healthcare,204,42565.0,1404645,Low,Yes,0
B00183,Professional Indemnity,Retail,359,138814.3,1878994,Medium,No,2
B00184,Workers Compensation,Retail,459,35379.46,743660,Medium,No,5
B00185,Workers Compensation,Construction,357,83526.0,3591618,Low,Yes,0
B00186,Liability,Healthcare,170,47361.72,553531,High,Yes,3
B00187,Workers Compensation,Construction,13,168171.7,6928388,Low,No,4
B00188,Liability,Manufacturing,65,199577.0,4989425,High,No,0
B00189,Professional Indemnity,IT,356,72666.75,1134945,Low,No,2
B00190,Liability,Manufacturing,87,148877.56,2305828,Medium,Yes,5
B00191,Professional Indemnity,Retail,40,141650.36,4277239,Medium,No,2
B00192,Professional Indemnity,IT,391,136487.0,4231097,Medium,No,0
B00193,Workers Compensation,Manufacturing,318,153071.76,6604338,Low,No,5
B00194,Professional Indemnity,Construction,416,178925.59,9311280,Medium,No,4
B00195,Liability,Healthcare,15,181603.0,6900914,Low,No,0
B00196,Liability,Healthcare,361,102137.58,4147611,Medium,Yes,2
B00197,Professional Indemnity,Manufacturing,208,172469.22,5279670,Medium,No,1
B00198,Liability,Healthcare,151,128471.77,6415453,Low,Yes,3
B00199,Workers Compensation,IT,189,36828.46,613552,Medium,No,2
B00200,Liability,Retail,142,110509.74,5379264,Medium,No,5
B00201,Liability,Construction,491,40552.0,1946496,Medium,No,0
B00202,Professional Indemnity,Construction,451,109971.7,3855819,High,No,3
B00203,Liability,Retail,99,152975.0,2600575,High,No,0
B00204,Workers Compensation,IT,59,147950.14,2946168,High,No,5
B00205,Liability,IT,262,129602.0,3628856,Low,No,0
B00206,Workers Compensation,IT,272,60515.98,864514,Medium,No,1
B00207,Professional Indemnity,Healthcare,308,112936.45,5519678,High,Yes,3
B00208,Liability,Construction,489,25956.19,910074,Low,No,3
B00209,Liability,Healthcare,166,55760.16,2529167,Medium,No,5
B00210,Professional Indemnity,Retail,299,162542.8,1824460,Medium,No,1
B00211,Workers Compensation,Manufacturing,267,133671.35,4453856,Medium,No,2
B00212,Liability,Retail,387,197967.0,2771538,High,No,0
B00213,Liability,Construction,99,42253.69,1053630,Low,Yes,4
B00214,Liability,Healthcare,156,186024.0,3162408,Medium,No,0
B00215,Liability,Construction,349,65002.0,2600080,Low,No,0
B00216,Liability,IT,84,176010.59,3482092,Low,No,2
B00217,Professional Indemnity,Manufacturing,278,135926.0,4757410,Medium,Yes,0
B00218,Liability,IT,224,56063.84,1372992,High,No,1
B00219,Workers Compensation,Construction,309,40951.26,710379,Medium,No,1
B00220,Workers Compensation,Construction,473,90195.37,2395775,Medium,No,3
B00221,Liability,IT,165,113895.83,4536072,Medium,No,5
B00222,Liability,Manufacturing,380,173318.51,2066966,Medium,No,4
B00223,Liability,Construction,379,112395.0,1685925,Medium,No,0
B00224,Professional Indemnity,IT,437,186202.0,5213656,Medium,No,0
B00225,Workers Compensation,IT,194,47101.86,1961760,High,No,2
B00226,Liability,Construction,450,125611.55,5419557,Low,No,5
B00227,Workers Compensation,Retail,427,160078.1,8003905,High,No,1
B00228,Professional Indemnity,Healthcare,87,38123.32,1570616,Low,Yes,4
B00229,Liability,Retail,382,150824.14,4647192,High,No,3
B00230,Workers Compensation,Retail,335,179380.18,3660820,Medium,Yes,1
B00231,Liability,Manufacturing,385,51903.13,2411640,Low,No,5
B00232,Liability,Construction,91,185997.42,8892855,Medium,No,3
B00233,Workers Compensation,Construction,411,73975.77,3081040,Medium,No,2
B00234,Liability,Healthcare,137,127228.99,4106725,High,Yes,2
B00235,Liability,Healthcare,350,171529.0,4288225,High,Yes,0
B00236,Liability,Retail,80,146115.18,5011026,High,No,5
B00237,Liability,Retail,67,165653.63,7183840,High,Yes,4
B00238,Liability,Manufacturing,97,45922.64,1707720,Medium,No,3
B00239,Liability,Healthcare,200,140074.34,7003717,Medium,Yes,1
B00240,Workers Compensation,Healthcare,214,125980.35,2787420,Low,No,5
B00241,Liability,Manufacturing,493,34171.82,1134120,High,No,5
B00242,Workers Compensation,Retail,379,112960.33,2234742,Low,Yes,2
B00243,Liability,Construction,270,160791.0,6914013,Medium,No,0
B00244,Professional Indemnity,Retail,338,63408.0,2789952,Low,No,0
B00245,Professional Indemnity,Healthcare,365,101661.91,1188154,Medium,No,3
B00246,Professional Indemnity,Manufacturing,379,124281.52,5564458,High,No,2
B00247,Professional Indemnity,Retail,498,76869.42,2551200,High,No,5
B00248,Workers Compensation,IT,289,95845.12,1974328,Medium,No,4
B00249,Liability,Healthcare,252,79095.66,3706065,Low,No,2
B00250,Liability,Healthcare,140,22766.49,822426,Low,No,3
B00251,Liability,Manufacturing,385,179891.91,6880752,Medium,Yes,3
B00252,Professional Indemnity,Manufacturing,139,55958.67,1048788,Medium,No,2
B00253,Workers Compensation,Retail,271,130581.92,4994676,High,No,3
B00254,Workers Compensation,IT,262,152016.91,3640555,Medium,No,2
B00255,Workers Compensation,Healthcare,283,106639.68,1849872,Medium,Yes,1
B00256,Liability,Construction,293,98271.97,1023240,Medium,Yes,2
B00257,Professional Indemnity,Construction,337,113564.42,4611633,Medium,Yes,2
B00258,Workers Compensation,Healthcare,97,181795.94,9464595,Low,No,3
B00259,Liability,Retail,423,58878.15,688127,Medium,No,3
B00260,Workers Compensation,Retail,187,54565.0,1036735,High,No,0
B00261,Professional Indemnity,Retail,436,88467.0,2123208,Low,No,0
B00262,Professional Indemnity,IT,28,47252.66,1446510,Medium,No,1
B00263,Liability,Construction,337,28975.0,869250,Low,No,0
B00264,Professional Indemnity,Construction,15,57271.53,834862,Low,No,2
B00265,Liability,IT,122,163960.35,1916255,Medium,No,3
B00266,Professional Indemnity,Retail,48,177275.0,3722775,Medium,No,0
B00267,Liability,Retail,295,120804.0,4711356,Low,No,0
B00268,Professional Indemnity,Construction,396,191241.12,3512592,Low,No,1
B00269,Workers Compensation,Retail,336,64798.47,1505406,High,Yes,5
B00270,Professional Indemnity,IT,27,84619.08,4230954,High,No,1
B00271,Liability,Construction,260,141807.86,4281995,Medium,Yes,2
B00272,Workers Compensation,Retail,189,122642.02,3648540,Low,No,3
B00273,Workers Compensation,Manufacturing,314,30042.88,1440832,Medium,No,1
B00274,Workers Compensation,Construction,101,82483.0,1732143,Low,No,0
B00275,Professional Indemnity,Retail,31,149555.41,5720400,Medium,No,3
B00276,Liability,IT,199,179270.72,8190296,Medium,No,3
B00277,Workers Compensation,Manufacturing,389,184467.0,5902944,High,No,0
B00278,Workers Compensation,IT,238,37881.9,1275615,Medium,No,1
B00279,Liability,Retail,443,118414.0,2841936,Low,No,0
B00280,Liability,Healthcare,350,68493.69,1894350,Medium,No,5
B00281,Professional Indemnity,Manufacturing,378,135462.94,6908496,High,No,3
B00282,Liability,IT,258,165550.33,2512776,Low,No,4
B00283,Workers Compensation,Healthcare,287,61106.89,2451250,High,Yes,4
B00284,Liability,Manufacturing,150,163427.43,4594482,Medium,No,2
B00285,Professional Indemnity,Manufacturing,335,123854.0,5573430,Low,Yes,0
B00286,Professional Indemnity,Healthcare,318,133230.0,5862120,Medium,No,0
B00287,Liability,Retail,326,153552.59,6235476,High,No,2
B00288,Workers Compensation,Healthcare,21,132012.74,3024032,Medium,No,2
B00289,Liability,IT,39,74840.13,1714372,High,No,2
B00290,Professional Indemnity,IT,449,118067.83,1630785,Medium,No,3
B00291,Workers Compensation,Construction,428,143035.52,2057107,High,Yes,5
B00292,Workers Compensation,Construction,477,165212.0,1652120,Low,No,0
B00293,Liability,Healthcare,212,83288.9,1415888,Medium,No,3
B00294,Liability,Construction,147,80409.49,3600175,High,No,2
B00295,Professional Indemnity,Retail,456,192500.0,2887500,High,No,0
B00296,Professional Indemnity,Healthcare,71,139840.42,5348808,Medium,Yes,3
B00297,Liability,Construction,446,170470.42,5280520,Medium,No,5
B00298,Liability,Manufacturing,326,52510.98,2678016,Medium,No,3
B00299,Liability,Retail,339,127444.7,6485586,High,Yes,5
B00300,Liability,IT,293,76146.27,1347862,High,No,2
B00301,Workers Compensation,IT,46,52177.92,1789444,High,Yes,5
B00302,Workers Compensation,Construction,38,164658.0,1975896,Medium,No,0
B00303,Professional Indemnity,Retail,237,117390.65,4155854,Low,No,2
B00304,Liability,Manufacturing,290,198288.0,6345216,Low,No,0
B00305,Liability,IT,460,169844.87,6813180,Medium,Yes,4
B00306,Liability,Manufacturing,234,35984.62,1175008,Medium,No,1
B00307,Workers Compensation,Construction,400,136197.36,3013480,Low,No,5
B00308,Workers Compensation,IT,229,167374.2,6319230,Medium,No,1
B00309,Liability,Healthcare,484,115542.0,4833900,Medium,No,1
B00310,Liability,Construction,430,52611.81,2502772,Medium,No,5
B00311,Liability,IT,123,157143.53,2290722,Medium,No,2
B00312,Liability,Healthcare,308,34398.8,596704,Medium,No,4
B00313,Professional Indemnity,Retail,38,103440.0,2792880,Low,Yes,0
B00314,Workers Compensation,Construction,265,98811.98,3044594,Medium,No,3
B00315,Workers Compensation,Healthcare,320,78053.0,1639113,Medium,No,0
B00316,Liability,Construction,20,180904.63,7880528,Medium,No,3
B00317,Professional Indemnity,IT,21,164570.0,2633120,Medium,No,0
B00318,Liability,Healthcare,407,77405.45,1113229,Low,No,5
B00319,Professional Indemnity,Healthcare,215,40609.1,1452891,Medium,No,4
B00320,Professional Indemnity,IT,324,97538.55,3108990,Medium,No,3
B00321,Professional Indemnity,Retail,412,157948.34,3618142,High,No,2
B00322,Workers Compensation,Construction,175,152413.0,3657912,Medium,No,0
B00323,Liability,Healthcare,417,179547.0,5027316,Medium,No,0
B00324,Liability,Healthcare,498,58113.9,2655035,Medium,No,3
B00325,Workers Compensation,Manufacturing,54,123983.8,2711016,High,Yes,2
B00326,Workers Compensation,Healthcare,352,122112.94,4068736,Medium,No,2
B00327,Liability,Manufacturing,52,20144.78,624008,High,No,5
B00328,Liability,Healthcare,352,144574.9,3198840,Medium,No,5
B00329,Professional Indemnity,Construction,115,19571.69,389736,Low,No,5
B00330,Liability,IT,161,157298.49,7830810,Low,No,5
B00331,Liability,IT,428,124461.76,1789983,Medium,No,5
B00332,Liability,Retail,319,143322.97,1902684,Medium,No,5
B00333,Liability,Construction,39,63171.15,1986152,Medium,No,4
B00334,Liability,Healthcare,133,73630.03,3066640,Medium,No,2
B00335,Workers Compensation,Retail,455,64628.53,2502430,Medium,Yes,5
B00336,Workers Compensation,Construction,480,45691.99,1332128,High,Yes,2
B00337,Liability,Manufacturing,492,55480.39,1790808,High,No,2
B00338,Professional Indemnity,IT,191,77736.54,872553,Medium,No,1
B00339,Professional Indemnity,Construction,123,94336.13,4091040,Medium,No,4
B00340,Liability,Manufacturing,110,123198.98,2862174,Medium,No,5
B00341,Workers Compensation,Retail,390,99157.0,1784826,Medium,No,0
B00342,Liability,Manufacturing,297,101362.61,3877056,Medium,No,3
B00343,Professional Indemnity,Retail,458,105068.0,2416564,Low,Yes,0
B00344,Liability,IT,144,104657.43,4084776,High,No,4
B00345,Liability,Manufacturing,137,149472.58,6987728,Medium,Yes,3
B00346,Workers Compensation,Retail,186,100393.32,1741488,Medium,No,4
B00347,Liability,Manufacturing,432,44585.61,1949808,Medium,No,2
B00348,Liability,Manufacturing,122,96629.36,2258674,Medium,Yes,3
B00349,Workers Compensation,Healthcare,27,188225.91,9603363,Low,Yes,2
B00350,Workers Compensation,IT,393,126577.0,1265770,High,No,0
B00351,Professional Indemnity,Retail,449,190135.0,9126480,High,No,0
B00352,Workers Compensation,Healthcare,409,38027.92,1575756,High,Yes,3
B00353,Liability,Retail,144,37690.97,1401610,Medium,No,3
B00354,Workers Compensation,Manufacturing,27,76954.39,936474,High,No,5
B00355,Professional Indemnity,Healthcare,228,83332.27,2710380,Low,Yes,4
B00356,Workers Compensation,IT,20,147719.64,5066051,Low,No,5
B00357,Workers Compensation,Retail,46,133966.6,4647744,Low,No,4
B00358,Liability,Construction,342,65598.44,1233707,Low,No,5
B00359,Liability,IT,39,87474.19,2094863,High,No,2
B00360,Liability,IT,29,79765.08,3813705,Medium,No,3
B00361,Liability,IT,225,199691.0,6390112,Medium,No,0
B00362,Professional Indemnity,Healthcare,442,56286.59,2990176,High,No,4
B00363,Liability,Retail,268,97056.19,2735850,Medium,Yes,4
B00364,Workers Compensation,IT,21,68972.0,1172524,Medium,No,0
B00365,Workers Compensation,Construction,108,46045.73,2139480,Medium,No,5
B00366,Workers Compensation,Manufacturing,422,130475.43,2970597,High,No,4
B00367,Workers Compensation,Healthcare,392,78820.03,2872450,High,Yes,2
B00368,Professional Indemnity,Retail,426,156616.23,6988884,Medium,Yes,3
B00369,Professional Indemnity,Construction,494,60038.0,1380874,High,No,0
B00370,Liability,Retail,296,47521.73,1312766,High,No,3
B00371,Workers Compensation,Construction,451,151033.17,2456175,Medium,No,4
B00372,Liability,IT,297,46424.63,1962948,Medium,No,4
B00373,Workers Compensation,Healthcare,448,123968.0,3223168,Low,Yes,0
B00374,Professional Indemnity,Retail,110,48672.11,810864,Medium,No,2
B00375,Professional Indemnity,Retail,355,62934.62,1733913,Medium,No,1
B00376,Liability,IT,5,93633.0,4588017,Low,No,0
B00377,Professional Indemnity,Retail,239,107579.5,4610550,High,No,1
B00378,Workers Compensation,Manufacturing,280,155950.74,4313175,High,No,5
B00379,Workers Compensation,Retail,148,132300.98,1485011,High,Yes,1
B00380,Liability,Healthcare,477,190283.09,2971935,High,No,2
B00381,Liability,Healthcare,162,78491.96,1215690,Low,No,5
B00382,Liability,IT,186,147205.8,6008400,Medium,Yes,1
B00383,Liability,Retail,467,80826.79,2146032,High,No,5
B00384,Liability,Construction,131,145799.5,4909575,Low,No,1
B00385,Workers Compensation,IT,289,84041.72,1837647,High,No,2
B00386,Liability,Manufacturing,110,163205.28,6827976,Low,Yes,1
B00387,Liability,Construction,94,178416.84,6918204,Medium,No,1
B00388,Workers Compensation,Retail,307,82458.18,2019384,High,No,1
B00389,Professional Indemnity,Retail,176,137034.0,3836952,Medium,Yes,0
B00390,Liability,Healthcare,5,46219.0,1756322,Medium,Yes,0
B00391,Professional Indemnity,IT,69,37637.0,1505480,High,Yes,0
B00392,Liability,Manufacturing,181,161555.61,3700774,Medium,Yes,2
B00393,Professional Indemnity,Manufacturing,243,162388.47,7365609,Medium,No,5
B00394,Liability,IT,216,62851.09,2180512,Low,No,4
B00395,Workers Compensation,Retail,413,85893.08,3505840,Low,No,1
B00396,Liability,Construction,251,149246.16,4416468,Medium,No,1
B00397,Liability,Retail,75,104813.25,1637025,Low,Yes,2
B00398,Liability,Manufacturing,221,188504.96,2115872,Medium,Yes,1
B00399,Liability,IT,41,54030.0,2107170,Medium,No,0
B00400,Liability,Manufacturing,138,115635.45,3635672,Low,Yes,4
B00401,Workers Compensation,Manufacturing,475,176680.56,4129840,High,Yes,3
B00402,Workers Compensation,Healthcare,121,45551.38,836658,High,No,1
B00403,Liability,IT,43,124981.0,4999240,Medium,No,0
B00404,Professional Indemnity,Retail,145,139378.3,2369392,High,No,3
B00405,Liability,Construction,193,54053.54,2226914,High,No,4
B00406,Workers Compensation,IT,109,174366.17,2408393,Medium,Yes,3
B00407,Liability,IT,194,151942.0,7293216,Low,No,0
