Policy_ID,Sub_Type,Property_Type,Property_Value,Annual_Premium,Risk_Type,Location,Claim_Status,No_Claim_Years
PR00178,Fire Insurance,House,2081478,9201.0,Fire,Coastal,No,0
PR00179,Home Insurance,House,9516187,78610.38,Fire,Industrial,No,5
PR00180,Home Insurance,Shop,3843535,22741.0,Theft,Rural,No,0
PR00181,Theft Insurance,Shop,4927708,35289.0,Earthquake,Coastal,No,0
PR00182,Home Insurance,House,1843308,10218.0,Flood,Industrial,No,0
PR00183,Fire Insurance,House,3807191,21797.24,Flood,Urban,Yes,2
PR00184,Home Insurance,Apartment,3297248,14179.81,Flood,Urban,Yes,5
PR00185,Theft Insurance,Apartment,445593,1765.0,Theft,Industrial,No,0
PR00186,Home Insurance,Apartment,4199701,34403.39,Fire,Coastal,No,3
PR00187,Theft Insurance,Factory,4922491,19400.17,Earthquake,Industrial,Yes,4
PR00188,Fire Insurance,Apartment,2169276,15381.0,Flood,Rural,No,0
PR00189,Fire Insurance,Shop,5682983,41955.07,Flood,Industrial,No,2
PR00190,Fire Insurance,Warehouse,398122,1056.68,Earthquake,Urban,No,5
PR00191,Home Insurance,Warehouse,5222460,20383.53,Earthquake,Industrial,No,2
PR00192,Fire Insurance,Factory,8652016,35815.0,Theft,Coastal,No,0
PR00193,Theft Insurance,House,5601934,35421.04,Flood,Rural,No,5
PR00194,Fire Insurance,Apartment,2097618,13799.55,Flood,Industrial,Yes,4
PR00195,Home Insurance,House,7992767,45334.0,Fire,Industrial,No,0
PR00196,Home Insurance,Shop,5800672,38190.31,Theft,Industrial,No,2
PR00197,Fire Insurance,Shop,8382566,19247.2,Theft,Industrial,No,1
PR00198,Home Insurance,House,4803078,15686.85,Flood,Coastal,No,3
PR00199,Home Insurance,Warehouse,4256082,37779.25,Fire,Industrial,No,2
PR00200,Fire Insurance,Shop,4934355,23645.66,Earthquake,Rural,Yes,5
PR00201,Home Insurance,Warehouse,8827222,54677.0,Flood,Rural,No,0
PR00202,Home Insurance,Apartment,4640261,33996.8,Theft,Coastal,No,3
PR00203,Theft Insurance,House,5999816,59610.0,Fire,Coastal,Yes,0
PR00204,Home Insurance,Factory,8479464,48742.12,Flood,Urban,No,5
PR00205,Fire Insurance,House,9205245,76134.0,Theft,Urban,Yes,0
PR00206,Home Insurance,Factory,856769,3444.7,Earthquake,Industrial,No,1
PR00207,Fire Insurance,Apartment,1348642,12335.26,Earthquake,Urban,No,3
PR00208,Home Insurance,Warehouse,6704813,57552.01,Earthquake,Urban,No,3
PR00209,Theft Insurance,Shop,4403677,12268.01,Theft,Coastal,No,5
PR00210,Home Insurance,Warehouse,5932453,26554.08,Theft,Urban,No,1
PR00211,Home Insurance,Factory,9313959,19551.82,Fire,Urban,No,2
PR00212,Fire Insurance,Shop,6600367,51994.0,Flood,Coastal,No,0
PR00213,Theft Insurance,Warehouse,1251713,6166.03,Flood,Urban,No,4
PR00214,Fire Insurance,Warehouse,8111074,48705.0,Earthquake,Urban,No,0
PR00215,Home Insurance,Apartment,4398528,30994.0,Earthquake,Coastal,Yes,0
PR00216,Home Insurance,Factory,5677083,12470.79,Theft,Rural,No,2
PR00217,Fire Insurance,Shop,1965727,6877.0,Flood,Rural,Yes,0
PR00218,Fire Insurance,Warehouse,3916593,34534.22,Fire,Rural,No,1
PR00219,Home Insurance,Shop,8128316,76176.38,Fire,Coastal,No,1
PR00220,Home Insurance,Apartment,9541583,88551.11,Earthquake,Rural,No,3
PR00221,Home Insurance,House,5801409,10493.62,Theft,Rural,No,5
PR00222,Home Insurance,Shop,3849973,19133.61,Flood,Industrial,No,4
PR00223,Home Insurance,Shop,1774119,9242.0,Flood,Rural,No,0
PR00224,Fire Insurance,Shop,3696389,31837.0,Theft,Industrial,Yes,0
PR00225,Fire Insurance,Shop,5114697,47143.15,Theft,Rural,No,2
PR00226,Home Insurance,House,4490138,17747.58,Theft,Coastal,No,5
PR00227,Fire Insurance,House,8912048,26354.16,Earthquake,Urban,No,1
PR00228,Theft Insurance,Factory,9929491,77882.92,Theft,Urban,Yes,4
PR00229,Home Insurance,Shop,3396008,16340.03,Flood,Coastal,No,3
PR00230,Home Insurance,House,6842825,21356.16,Fire,Rural,No,1
PR00231,Fire Insurance,Shop,2669876,14906.56,Theft,Urban,No,5
PR00232,Theft Insurance,Warehouse,8678638,81322.75,Flood,Industrial,No,3
PR00233,Fire Insurance,Shop,8911127,55740.66,Earthquake,Urban,No,2
PR00234,Home Insurance,Apartment,4844242,30816.35,Theft,Coastal,No,2
PR00235,Home Insurance,Shop,2731772,25952.0,Fire,Coastal,Yes,0
PR00236,Home Insurance,House,2351984,7545.93,Earthquake,Industrial,Yes,5
PR00237,Home Insurance,Factory,6169821,32333.62,Theft,Urban,No,4
PR00238,Theft Insurance,Apartment,2596697,12259.03,Theft,Coastal,No,3
PR00239,Home Insurance,Apartment,9960178,48180.72,Earthquake,Coastal,No,1
PR00240,Home Insurance,Shop,4144346,36855.56,Fire,Industrial,Yes,5
PR00241,Fire Insurance,Apartment,9804037,27242.36,Earthquake,Urban,No,5
PR00242,Home Insurance,Warehouse,7112014,61974.61,Earthquake,Industrial,No,2
PR00243,Theft Insurance,Shop,2963425,16728.0,Fire,Coastal,No,0
PR00244,Fire Insurance,Warehouse,6236851,23739.0,Fire,Urban,No,0
PR00245,Fire Insurance,Factory,7999488,46340.53,Fire,Industrial,Yes,3
PR00246,Home Insurance,Factory,8855274,43900.84,Fire,Coastal,No,2
PR00247,Fire Insurance,Warehouse,8515218,41304.66,Theft,Rural,No,5
PR00248,Home Insurance,Warehouse,1086952,6917.76,Fire,Urban,No,4
PR00249,Theft Insurance,Apartment,9117154,30779.86,Fire,Rural,No,2
PR00250,Theft Insurance,Shop,7487868,39227.0,Flood,Urban,No,3
PR00251,Home Insurance,House,2810689,19705.74,Earthquake,Urban,Yes,3
PR00252,Home Insurance,Shop,7956989,62375.1,Fire,Coastal,No,2
PR00253,Theft Insurance,Factory,1059441,4432.07,Fire,Coastal,No,3
PR00254,Fire Insurance,Apartment,2879137,15824.51,Theft,Industrial,No,2
PR00255,Fire Insurance,Factory,6816395,53202.24,Fire,Coastal,No,1
PR00256,Home Insurance,Apartment,2620107,13532.04,Earthquake,Urban,No,2
PR00257,Fire Insurance,Apartment,1867106,7476.71,Earthquake,Coastal,Yes,2
PR00258,Theft Insurance,Apartment,247005,2094.15,Flood,Industrial,No,3
PR00259,Theft Insurance,House,1369986,10545.12,Flood,Rural,Yes,3
PR00260,Theft Insurance,Factory,9301720,26116.0,Fire,Coastal,No,0
PR00261,Home Insurance,House,5115914,30564.0,Earthquake,Urban,No,0
PR00262,Fire Insurance,Apartment,7260747,23730.7,Earthquake,Rural,Yes,1
PR00263,Theft Insurance,House,8203447,37609.0,Theft,Urban,Yes,0
PR00264,Home Insurance,Shop,9859877,83067.88,Fire,Rural,No,2
PR00265,Home Insurance,Shop,7734281,22432.37,Flood,Coastal,No,3
PR00266,Fire Insurance,Shop,9241151,78972.0,Flood,Industrial,Yes,0
PR00267,Theft Insurance,House,9317691,60802.0,Earthquake,Industrial,No,0
PR00268,Fire Insurance,Shop,5066889,39030.46,Flood,Urban,No,1
PR00269,Home Insurance,Apartment,8639227,15630.6,Fire,Industrial,Yes,5
PR00270,Fire Insurance,Apartment,6024598,21282.66,Flood,Urban,Yes,1
PR00271,Fire Insurance,Shop,9003521,29914.54,Theft,Rural,No,2
PR00272,Home Insurance,Warehouse,1794504,8698.5,Fire,Industrial,No,3
PR00273,Home Insurance,Apartment,1851564,10341.94,Fire,Rural,No,1
PR00274,Theft Insurance,Factory,6189526,20878.0,Flood,Industrial,No,0
PR00275,Home Insurance,Warehouse,1526045,10952.65,Theft,Coastal,Yes,3
PR00276,Fire Insurance,House,6173230,16746.63,Flood,Industrial,No,3
PR00277,Theft Insurance,Apartment,2664003,13385.0,Fire,Industrial,No,0
PR00278,Home Insurance,Apartment,4164023,40613.16,Earthquake,Industrial,No,1
PR00279,Home Insurance,Apartment,4173908,41466.0,Theft,Rural,No,0
PR00280,Home Insurance,Apartment,6417853,45216.83,Theft,Coastal,No,5
PR00281,Theft Insurance,Factory,8310164,39506.53,Fire,Industrial,No,3
PR00282,Home Insurance,Shop,8723408,41941.92,Fire,Coastal,No,4
PR00283,Theft Insurance,Factory,6976436,46816.64,Flood,Industrial,No,4
PR00284,Theft Insurance,House,7001285,15351.99,Flood,Coastal,No,2
PR00285,Home Insurance,Shop,9697159,87025.0,Fire,Rural,No,0
PR00286,Fire Insurance,Apartment,9460764,19500.0,Flood,Coastal,No,0
PR00287,Theft Insurance,Warehouse,7248037,29951.03,Theft,Urban,No,2
PR00288,Home Insurance,Apartment,9482674,29859.8,Fire,Rural,Yes,2
PR00289,Fire Insurance,Shop,833024,4780.87,Earthquake,Urban,No,2
PR00290,Home Insurance,Apartment,9294257,78956.6,Fire,Rural,Yes,3
PR00291,Home Insurance,Factory,598117,3929.34,Theft,Industrial,No,5
PR00292,Theft Insurance,Factory,4373154,38549.0,Earthquake,Coastal,No,0
PR00293,Home Insurance,Warehouse,8464677,56939.29,Flood,Coastal,No,3
PR00294,Fire Insurance,Warehouse,4870620,28797.59,Theft,Urban,No,2
PR00295,Fire Insurance,Factory,6233850,25514.0,Earthquake,Industrial,No,0
PR00296,Home Insurance,Warehouse,2618142,5158.67,Earthquake,Coastal,No,3
PR00297,Home Insurance,House,4267313,15312.42,Fire,Urban,No,5
PR00298,Fire Insurance,Warehouse,7284730,31437.7,Earthquake,Rural,No,3
PR00299,Home Insurance,Factory,5939833,27291.18,Theft,Industrial,No,5
PR00300,Fire Insurance,House,4382777,11544.01,Fire,Coastal,No,2
PR00301,Theft Insurance,Apartment,5411031,10734.96,Fire,Coastal,No,5
PR00302,Theft Insurance,Factory,1882248,12802.0,Theft,Urban,Yes,0
PR00303,Theft Insurance,House,9485487,44142.87,Flood,Rural,No,2
PR00304,Home Insurance,Shop,9868836,44149.0,Earthquake,Industrial,No,0
PR00305,Home Insurance,Apartment,1178837,3668.26,Flood,Urban,No,4
PR00306,Home Insurance,Warehouse,6791134,58694.16,Theft,Urban,Yes,1
PR00307,Fire Insurance,House,1176324,10371.59,Theft,Industrial,No,5
PR00308,Home Insurance,Warehouse,9184621,35559.3,Earthquake,Industrial,No,1
PR00309,Home Insurance,Shop,9303531,46449.06,Fire,Urban,Yes,1
PR00310,Home Insurance,Shop,3537059,12628.68,Fire,Coastal,No,5
PR00311,Fire Insurance,Shop,1957753,4863.47,Theft,Urban,No,2
PR00312,Home Insurance,House,9539687,57179.45,Earthquake,Urban,No,4
PR00313,Home Insurance,Warehouse,1186296,10338.0,Theft,Industrial,No,0
PR00314,Theft Insurance,Shop,6171320,44400.73,Fire,Coastal,No,3
PR00315,Home Insurance,Apartment,719058,6115.0,Theft,Coastal,No,0
PR00316,Home Insurance,Factory,3457871,7285.77,Earthquake,Coastal,No,3
PR00317,Home Insurance,Factory,2022622,9995.0,Theft,Coastal,No,0
PR00318,Fire Insurance,Apartment,4913376,33180.22,Theft,Coastal,No,5
PR00319,Theft Insurance,Warehouse,5624472,38913.79,Theft,Urban,No,4
PR00320,Home Insurance,Apartment,6157719,48526.92,Earthquake,Industrial,Yes,3
PR00321,Theft Insurance,Shop,8528773,76256.72,Fire,Urban,No,2
PR00322,Home Insurance,House,8844408,73821.0,Fire,Urban,No,0
PR00323,Home Insurance,Warehouse,2096011,5837.0,Earthquake,Urban,No,0
PR00324,Fire Insurance,Apartment,2409408,8069.78,Fire,Urban,No,3
PR00325,Fire Insurance,Shop,6408172,37201.09,Theft,Industrial,No,2
PR00326,Home Insurance,Apartment,6290621,31789.24,Earthquake,Industrial,No,2
PR00327,Home Insurance,Warehouse,1156523,5005.91,Theft,Industrial,No,5
PR00328,Home Insurance,Warehouse,6450822,34534.29,Theft,Industrial,No,5
PR00329,Fire Insurance,Warehouse,9717730,30507.33,Flood,Rural,No,5
PR00330,Fire Insurance,Shop,449423,1779.82,Earthquake,Coastal,No,5
PR00331,Home Insurance,Factory,3275797,28190.58,Theft,Urban,No,5
PR00332,Home Insurance,Factory,8691377,70407.29,Theft,Coastal,No,5
PR00333,Home Insurance,Shop,4841155,20640.75,Earthquake,Urban,No,4
PR00334,Home Insurance,Factory,5933353,56886.41,Flood,Rural,No,2
PR00335,Home Insurance,House,6569442,22880.04,Flood,Industrial,No,5
PR00336,Fire Insurance,Apartment,8318161,40739.21,Earthquake,Urban,No,2
PR00337,Home Insurance,Factory,9793685,62689.15,Fire,Urban,No,2
PR00338,Fire Insurance,Warehouse,7274895,17602.76,Earthquake,Industrial,Yes,1
PR00339,Fire Insurance,House,7191444,31036.77,Fire,Rural,No,4
PR00340,Home Insurance,Factory,3263943,14073.14,Theft,Urban,No,5
PR00341,Fire Insurance,Warehouse,4387384,20510.0,Earthquake,Coastal,Yes,0
PR00342,Fire Insurance,House,9556039,43655.31,Flood,Industrial,No,3
PR00343,Home Insurance,Shop,3966270,26078.0,Theft,Urban,Yes,0
PR00344,Fire Insurance,Apartment,8032560,38958.99,Flood,Rural,No,4
PR00345,Theft Insurance,Apartment,5081627,44850.62,Flood,Industrial,No,3
PR00346,Fire Insurance,Warehouse,6146977,30662.28,Flood,Industrial,Yes,4
PR00347,Fire Insurance,Warehouse,1331238,4673.31,Flood,Rural,Yes,2
PR00348,Theft Insurance,Apartment,8170673,40845.85,Fire,Industrial,No,3
PR00349,Home Insurance,Factory,9581294,42203.82,Theft,Coastal,No,2
PR00350,Home Insurance,Shop,9588779,70545.0,Flood,Industrial,No,0
PR00351,Home Insurance,Factory,4433736,42959.0,Fire,Urban,No,0
PR00352,Theft Insurance,Factory,7032219,19218.2,Fire,Coastal,No,3
PR00353,Fire Insurance,Apartment,3717018,33666.44,Flood,Coastal,No,3
PR00354,Home Insurance,Factory,1024486,3326.43,Earthquake,Urban,No,5
