Policy_ID,Sub_Type,Asset_Type,Annual_Premium,Coverage_Amount,Risk_Factor,Claim_Status,No_Claim_Years
S00042,Cyber Insurance,Mobile,30252.6,157500,Theft,No,2
S00043,Cyber Insurance,Dog,45458.91,1675690,Health,Yes,4
S00044,Crop Insurance,Data,31924.66,1263158,Health,Yes,2
S00045,Cyber Insurance,Data,39098.26,1610782,Health,No,4
S00046,Gadget Insurance,Data,32801.0,393612,Damage,No,0
S00047,Gadget Insurance,Laptop,20117.44,431088,Theft,No,1
S00048,Pet Insurance,Laptop,26112.43,388416,Health,No,3
S00049,Gadget Insurance,Mobile,26686.0,827266,Health,Yes,0
S00050,Gadget Insurance,Mobile,2714.4,37492,Damage,No,3
S00051,Gadget Insurance,Data,3538.85,129195,Theft,No,5
S00052,Gadget Insurance,Laptop,27029.38,137905,Damage,No,1
S00053,Cyber Insurance,Data,39533.2,524420,Theft,Yes,1
S00054,Pet Insurance,Laptop,11054.0,420052,Weather,Yes,0
S00055,Cyber Insurance,Laptop,11968.74,219834,Theft,No,1
S00056,Gadget Insurance,Data,28364.67,153760,Hacking,No,4
S00057,Gadget Insurance,Agriculture,4739.28,33852,Theft,Yes,1
S00058,Pet Insurance,Cat,41387.98,571662,Weather,Yes,3
S00059,Cyber Insurance,Data,31332.28,399480,Health,Yes,3
S00060,Cyber Insurance,Laptop,14896.25,205751,Damage,No,3
S00061,Pet Insurance,Mobile,15029.9,447132,Weather,No,3
S00062,Cyber Insurance,Laptop,8542.97,55572,Damage,No,4
S00063,Crop Insurance,Data,33904.04,635436,Theft,No,2
S00064,Gadget Insurance,Agriculture,17005.46,338634,Weather,No,5
S00065,Cyber Insurance,Data,20214.0,667062,Hacking,No,0
S00066,Pet Insurance,Laptop,9314.98,128661,Theft,No,3
S00067,Cyber Insurance,Laptop,39548.88,928188,Damage,No,1
S00068,Pet Insurance,Agriculture,2992.05,28611,Theft,No,3
S00069,Cyber Insurance,Data,44141.16,540504,Hacking,No,1
S00070,Cyber Insurance,Dog,38796.28,472120,Health,No,5
S00071,Crop Insurance,Data,12751.61,310354,Weather,Yes,5
S00072,Crop Insurance,Dog,34249.56,265230,Theft,No,5
S00073,Pet Insurance,Cat,16093.56,541926,Damage,No,1
S00074,Crop Insurance,Data,6950.7,118160,Hacking,No,3
S00075,Gadget Insurance,Cat,26925.99,357456,Damage,No,5
S00076,Gadget Insurance,Agriculture,31544.99,752400,Theft,Yes,4
S00077,Pet Insurance,Agriculture,34326.46,805621,Health,Yes,1
S00078,Crop Insurance,Cat,5157.74,189468,Health,No,1
S00079,Crop Insurance,Mobile,28839.06,306410,Health,No,3
S00080,Cyber Insurance,Mobile,8380.96,239456,Hacking,Yes,1
S00081,Pet Insurance,Cat,32203.78,952969,Weather,No,1
S00082,Pet Insurance,Laptop,19262.55,255720,Health,No,5
S00083,Cyber Insurance,Cat,23570.27,801376,Hacking,No,3
S00084,Gadget Insurance,Laptop,31683.33,560816,Weather,Yes,5
S00085,Cyber Insurance,Mobile,11284.55,362036,Damage,No,5
S00086,Pet Insurance,Agriculture,22970.73,244060,Health,Yes,3
S00087,Cyber Insurance,Data,34423.0,1135959,Damage,No,0
S00088,Cyber Insurance,Data,37957.44,1469720,Damage,No,5
S00089,Gadget Insurance,Mobile,42890.12,930000,Theft,No,4
S00090,Crop Insurance,Dog,42020.33,227785,Weather,Yes,4
S00091,Crop Insurance,Mobile,45726.8,419940,Theft,No,1
S00092,Crop Insurance,Mobile,39008.79,1057300,Health,No,4
S00093,Crop Insurance,Cat,6431.74,216579,Weather,Yes,1
S00094,Pet Insurance,Laptop,36423.0,1238382,Weather,No,0
S00095,Gadget Insurance,Agriculture,29491.31,752016,Theft,Yes,3
S00096,Cyber Insurance,Laptop,22822.96,824466,Damage,Yes,3
S00097,Cyber Insurance,Laptop,44798.86,713970,Hacking,No,3
S00098,Cyber Insurance,Mobile,11196.63,242780,Damage,No,4
S00099,Gadget Insurance,Laptop,19515.0,292725,Damage,Yes,0
S00100,Cyber Insurance,Mobile,24994.33,1056822,Health,No,4
S00101,Gadget Insurance,Cat,9172.03,49720,Theft,No,4
S00102,Cyber Insurance,Laptop,27453.0,384342,Theft,No,0
S00103,Gadget Insurance,Laptop,8243.0,49458,Damage,Yes,0
S00104,Crop Insurance,Laptop,16149.0,549066,Weather,No,0
S00105,Gadget Insurance,Agriculture,3176.0,101632,Theft,Yes,0
S00106,Gadget Insurance,Agriculture,37633.56,1519430,Health,No,3
S00107,Crop Insurance,Cat,11600.67,374449,Hacking,No,2
S00108,Cyber Insurance,Dog,47434.16,1481700,Hacking,No,2
S00109,Crop Insurance,Agriculture,3495.0,90870,Hacking,No,0
S00110,Gadget Insurance,Laptop,17038.46,337079,Health,No,2
S00111,Cyber Insurance,Dog,27998.54,145765,Theft,Yes,2
S00112,Crop Insurance,Dog,32786.0,950794,Damage,No,0
S00113,Gadget Insurance,Mobile,8660.89,90180,Hacking,No,2
S00114,Crop Insurance,Mobile,31386.34,884728,Damage,No,4
S00115,Crop Insurance,Dog,19888.12,771172,Weather,No,1
S00116,Cyber Insurance,Laptop,35874.86,988389,Health,No,1
S00117,Cyber Insurance,Laptop,38476.0,423236,Theft,No,0
S00118,Cyber Insurance,Cat,29928.02,667758,Hacking,Yes,3
S00119,Crop Insurance,Agriculture,36390.0,363900,Theft,No,0
S00120,Crop Insurance,Data,29320.95,809978,Health,No,3
S00121,Gadget Insurance,Mobile,45559.22,1162225,Weather,Yes,1
S00122,Pet Insurance,Mobile,1132.0,15848,Hacking,Yes,0
S00123,Crop Insurance,Dog,29898.08,363836,Theft,No,5
S00124,Gadget Insurance,Cat,41715.02,1130650,Hacking,Yes,4
S00125,Gadget Insurance,Data,19588.32,489504,Hacking,No,2
S00126,Gadget Insurance,Laptop,13883.52,560538,Weather,No,3
S00127,Cyber Insurance,Dog,10301.08,159544,Damage,Yes,5
S00128,Cyber Insurance,Dog,35522.31,258909,Health,Yes,2
S00129,Cyber Insurance,Mobile,40811.24,679904,Hacking,No,2
S00130,Crop Insurance,Cat,34182.0,376002,Weather,No,0
S00131,Crop Insurance,Agriculture,46947.23,1075426,Damage,No,2
S00132,Gadget Insurance,Mobile,32627.85,459862,Theft,No,4
S00133,Crop Insurance,Mobile,39823.13,837064,Damage,No,5
S00134,Crop Insurance,Dog,15674.69,440667,Health,No,2
S00135,Crop Insurance,Agriculture,28427.0,454832,Damage,Yes,0
S00136,Gadget Insurance,Dog,1589.24,62028,Damage,Yes,4
S00137,Crop Insurance,Laptop,44664.48,1321704,Health,No,1
S00138,Pet Insurance,Dog,1970.55,23980,Hacking,No,5
S00139,Pet Insurance,Mobile,11646.77,218286,Hacking,No,2
S00140,Gadget Insurance,Mobile,2724.0,68100,Hacking,No,0
S00141,Cyber Insurance,Agriculture,35558.32,435408,Hacking,No,1
S00142,Pet Insurance,Laptop,17308.76,529860,Weather,No,1
S00143,Cyber Insurance,Laptop,7677.3,65256,Theft,No,3
S00144,Crop Insurance,Mobile,19870.58,236973,Damage,No,4
S00145,Gadget Insurance,Data,40951.46,1492400,Theft,No,2
S00146,Pet Insurance,Cat,14492.0,318824,Weather,Yes,0
S00147,Pet Insurance,Agriculture,25842.31,576597,Hacking,No,3
S00148,Cyber Insurance,Agriculture,8461.81,229350,Damage,No,4
S00149,Crop Insurance,Laptop,11598.31,468274,Theft,No,3
S00150,Crop Insurance,Laptop,21596.48,860112,Weather,Yes,5
S00151,Pet Insurance,Laptop,44814.18,437274,Hacking,No,4
S00152,Pet Insurance,Mobile,30448.3,792264,Damage,No,4
S00153,Cyber Insurance,Dog,11073.41,230600,Hacking,No,2
S00154,Pet Insurance,Cat,15091.79,163620,Weather,Yes,4
S00155,Pet Insurance,Dog,23787.69,151644,Health,No,3
S00156,Cyber Insurance,Dog,38390.81,332976,Damage,Yes,4
S00157,Cyber Insurance,Agriculture,3216.38,80376,Health,Yes,2
S00158,Pet Insurance,Dog,16898.24,123165,Damage,No,2
S00159,Pet Insurance,Data,10742.19,320868,Damage,No,5
S00160,Cyber Insurance,Mobile,10630.76,259785,Hacking,No,3
S00161,Pet Insurance,Mobile,26628.56,1032536,Weather,Yes,1
S00162,Crop Insurance,Dog,12801.74,209008,Damage,No,1
S00163,Cyber Insurance,Agriculture,4493.78,112056,Health,No,4
S00164,Crop Insurance,Laptop,41978.99,603733,Weather,Yes,5
S00165,Pet Insurance,Laptop,47418.0,1754466,Theft,No,0
S00166,Gadget Insurance,Dog,45233.86,1618353,Theft,Yes,4
S00167,Gadget Insurance,Cat,22671.24,727349,Damage,No,5
S00168,Pet Insurance,Cat,33798.2,1256850,Health,Yes,3
S00169,Gadget Insurance,Agriculture,6680.58,248430,Health,No,3
S00170,Crop Insurance,Dog,36112.6,191845,Health,No,3
S00171,Gadget Insurance,Cat,45493.46,1111728,Damage,No,3
S00172,Pet Insurance,Agriculture,14183.76,226050,Theft,Yes,3
S00173,Crop Insurance,Data,5880.0,162625,Hacking,Yes,5
S00174,Gadget Insurance,Cat,9114.23,161328,Weather,No,5
S00175,Crop Insurance,Dog,46661.99,728790,Theft,No,2
S00176,Pet Insurance,Data,15001.84,336776,Health,No,1
S00177,Cyber Insurance,Dog,33480.08,1209448,Theft,No,3
S00178,Pet Insurance,Dog,16248.0,259968,Damage,No,0
S00179,Crop Insurance,Dog,10179.05,101349,Health,Yes,5
S00180,Crop Insurance,Cat,38822.0,1475236,Theft,No,0
S00181,Crop Insurance,Agriculture,41201.0,700417,Weather,Yes,0
S00182,Gadget Insurance,Data,14266.0,228256,Damage,No,0
S00183,Gadget Insurance,Data,36693.04,840532,Weather,No,2
S00184,Cyber Insurance,Laptop,28099.28,777150,Health,Yes,5
S00185,Pet Insurance,Mobile,5781.0,92496,Weather,No,0
S00186,Cyber Insurance,Agriculture,12398.32,289806,Health,No,3
S00187,Cyber Insurance,Laptop,32805.87,675773,Health,No,4
S00188,Gadget Insurance,Agriculture,8894.0,177880,Weather,No,0
S00189,Cyber Insurance,Mobile,23508.67,611950,Weather,No,2
S00190,Gadget Insurance,Agriculture,20655.49,365616,Damage,No,5
S00191,Cyber Insurance,Agriculture,28801.44,1019626,Hacking,Yes,2
S00192,Pet Insurance,Dog,32483.0,194898,Weather,No,0
S00193,Cyber Insurance,Agriculture,36352.98,201085,Theft,No,5
S00194,Cyber Insurance,Cat,19441.68,442638,Hacking,No,4
S00195,Gadget Insurance,Laptop,24613.0,787616,Theft,Yes,0
S00196,Cyber Insurance,Laptop,39282.28,777138,Hacking,Yes,2
S00197,Pet Insurance,Laptop,31960.74,326130,Health,Yes,1
S00198,Cyber Insurance,Cat,18485.01,471360,Damage,No,3
S00199,Cyber Insurance,Mobile,16090.54,301572,Damage,No,2
S00200,Gadget Insurance,Laptop,24803.59,740880,Damage,No,5
S00201,Crop Insurance,Dog,26973.0,431568,Theft,Yes,0
S00202,Crop Insurance,Agriculture,36090.01,536830,Health,No,3
S00203,Pet Insurance,Laptop,42063.0,588882,Weather,No,0
S00204,Gadget Insurance,Laptop,39645.97,964920,Hacking,No,5
S00205,Gadget Insurance,Laptop,8184.0,147312,Damage,No,0
S00206,Gadget Insurance,Mobile,40350.52,1111698,Theft,Yes,1
S00207,Pet Insurance,Laptop,38071.22,566300,Health,No,3
S00208,Gadget Insurance,Mobile,1995.33,21200,Weather,No,3
S00209,Crop Insurance,Mobile,34132.95,1397157,Weather,No,5
S00210,Cyber Insurance,Laptop,13371.12,122796,Weather,No,1
S00211,Crop Insurance,Data,18497.3,693360,Hacking,No,2
S00212,Crop Insurance,Agriculture,36697.0,513758,Hacking,No,0
S00213,Pet Insurance,Cat,2335.44,40512,Theft,Yes,4
S00214,Crop Insurance,Laptop,34998.0,699960,Weather,No,0
S00215,Crop Insurance,Data,26501.0,689026,Theft,No,0
S00216,Cyber Insurance,Cat,6346.32,251104,Theft,No,2
S00217,Pet Insurance,Laptop,40155.0,1124340,Weather,No,0
S00218,Crop Insurance,Mobile,41146.28,923692,Hacking,No,1
S00219,Crop Insurance,Laptop,40875.8,375390,Hacking,No,1
S00220,Gadget Insurance,Cat,21045.05,603720,Health,No,3
S00221,Crop Insurance,Agriculture,19860.04,549275,Theft,No,5
S00222,Pet Insurance,Dog,19114.24,746028,Weather,Yes,4
S00223,Crop Insurance,Laptop,23300.0,396100,Hacking,No,0
S00224,Crop Insurance,Agriculture,1023.0,36828,Hacking,No,0
S00225,Cyber Insurance,Agriculture,8524.51,168644,Health,No,2
S00226,Gadget Insurance,Agriculture,36342.14,1085535,Hacking,Yes,5
S00227,Crop Insurance,Dog,39782.12,1177226,Damage,No,1
S00228,Gadget Insurance,Data,11391.25,123500,Theft,Yes,4
S00229,Pet Insurance,Laptop,15215.31,436482,Health,Yes,3
S00230,Cyber Insurance,Agriculture,21597.24,220380,Damage,No,1
S00231,Crop Insurance,Data,3694.32,110349,Theft,No,5
S00232,Pet Insurance,Mobile,34790.22,813208,Damage,No,3
S00233,Cyber Insurance,Data,40390.58,1177568,Damage,No,2
S00234,Gadget Insurance,Data,12402.61,90398,Damage,No,2
S00235,Pet Insurance,Cat,22287.0,802332,Hacking,Yes,0
S00236,Pet Insurance,Dog,37189.11,493704,Damage,No,5
S00237,Gadget Insurance,Mobile,15598.17,186021,Hacking,No,4
S00238,Gadget Insurance,Agriculture,10206.29,336164,Damage,Yes,3
S00239,Crop Insurance,Laptop,43203.3,1498890,Damage,Yes,1
S00240,Pet Insurance,Data,8781.59,97150,Weather,No,5
S00241,Pet Insurance,Data,3271.29,57904,Weather,Yes,5
S00242,Crop Insurance,Data,8414.06,289113,Damage,No,2
S00243,Crop Insurance,Data,19530.0,156240,Damage,Yes,0
S00244,Gadget Insurance,Data,20683.0,372294,Hacking,Yes,0
S00245,Pet Insurance,Agriculture,33678.67,393613,Hacking,Yes,3
S00246,Crop Insurance,Dog,31447.34,1113296,Theft,No,2
S00247,Cyber Insurance,Cat,40823.77,316141,Theft,No,5
S00248,Crop Insurance,Agriculture,35132.08,228534,Hacking,No,4
S00249,Crop Insurance,Laptop,20601.54,300314,Theft,Yes,2
S00250,Crop Insurance,Agriculture,36442.95,929280,Damage,No,3
S00251,Pet Insurance,Mobile,46685.95,396824,Damage,No,3
S00252,Pet Insurance,Dog,40972.58,1151874,Damage,No,2
S00253,Crop Insurance,Laptop,15379.08,408500,Damage,No,3
S00254,Gadget Insurance,Agriculture,18641.36,252330,Weather,Yes,2
S00255,Crop Insurance,Mobile,7267.68,44496,Weather,Yes,1
S00256,Pet Insurance,Laptop,31729.7,991140,Health,No,2
S00257,Cyber Insurance,Mobile,43726.05,546348,Weather,No,2
S00258,Cyber Insurance,Dog,41671.28,575575,Damage,No,3
S00259,Gadget Insurance,Agriculture,25250.3,509732,Weather,Yes,3
S00260,Gadget Insurance,Mobile,3444.0,117096,Weather,No,0
S00261,Gadget Insurance,Data,38549.0,1233568,Hacking,Yes,0
S00262,Gadget Insurance,Agriculture,21702.1,265740,Weather,Yes,1
S00263,Crop Insurance,Dog,15486.0,418122,Weather,No,0
S00264,Gadget Insurance,Cat,16781.07,349460,Theft,Yes,2
S00265,Cyber Insurance,Dog,3341.23,81650,Theft,No,3
S00266,Pet Insurance,Laptop,20207.0,343519,Hacking,Yes,0
S00267,Gadget Insurance,Agriculture,30804.0,308040,Damage,No,0
S00268,Pet Insurance,Data,15715.28,128288,Theft,No,1
S00269,Crop Insurance,Mobile,35582.84,1102220,Hacking,No,5
S00270,Crop Insurance,Laptop,17224.48,210912,Weather,No,1
S00271,Crop Insurance,Mobile,40653.73,1608540,Damage,No,2
S00272,Cyber Insurance,Data,18854.9,260429,Damage,Yes,3
S00273,Pet Insurance,Mobile,45877.72,1825746,Health,No,1
S00274,Gadget Insurance,Laptop,2474.0,61850,Hacking,No,0
S00275,Pet Insurance,Cat,38861.82,495480,Damage,Yes,3
S00276,Cyber Insurance,Mobile,27168.45,490722,Health,No,3
S00277,Gadget Insurance,Dog,3775.0,109475,Health,No,0
S00278,Pet Insurance,Mobile,24767.54,631825,Theft,Yes,1
S00279,Cyber Insurance,Mobile,30190.0,332090,Theft,Yes,0
S00280,Crop Insurance,Cat,28950.78,480420,Theft,Yes,5
S00281,Pet Insurance,Cat,952.49,12144,Weather,No,3
S00282,Pet Insurance,Laptop,3803.85,131968,Health,Yes,4
S00283,Cyber Insurance,Dog,35428.16,1229120,Hacking,No,4
S00284,Cyber Insurance,Mobile,7334.57,84007,Damage,No,2
S00285,Pet Insurance,Cat,20923.0,543998,Hacking,Yes,0
S00286,Pet Insurance,Mobile,2811.0,44976,Weather,Yes,0
S00287,Gadget Insurance,Dog,47923.96,1946100,Health,Yes,2
S00288,Pet Insurance,Laptop,22247.67,787610,Health,No,2
S00289,Gadget Insurance,Mobile,7368.19,260848,Theft,No,2
S00290,Gadget Insurance,Agriculture,35530.94,1283534,Theft,Yes,3
S00291,Cyber Insurance,Agriculture,27885.05,925470,Health,No,5
S00292,Crop Insurance,Mobile,12146.0,327942,Hacking,No,0
S00293,Cyber Insurance,Cat,3688.53,137165,Weather,Yes,3
S00294,Cyber Insurance,Mobile,3764.77,86240,Theft,No,2
S00295,Cyber Insurance,Cat,23647.0,165529,Weather,No,0
S00296,Crop Insurance,Data,22031.42,117040,Damage,Yes,3
S00297,Cyber Insurance,Mobile,11630.75,321675,Weather,No,5
S00298,Pet Insurance,Agriculture,28533.18,363792,Hacking,Yes,3
S00299,Cyber Insurance,Laptop,30336.49,704781,Hacking,Yes,5
S00300,Gadget Insurance,Cat,26390.83,247311,Health,Yes,2
S00301,Gadget Insurance,Data,27806.41,1168956,Damage,No,5
S00302,Pet Insurance,Cat,40324.0,443564,Weather,No,0
S00303,Pet Insurance,Dog,23324.27,582864,Theft,No,2
S00304,Pet Insurance,Mobile,42472.0,1019328,Theft,Yes,0
S00305,Crop Insurance,Dog,28509.48,525453,Theft,No,4
S00306,Pet Insurance,Data,41307.0,1601700,Weather,Yes,1
S00307,Cyber Insurance,Laptop,18591.84,143976,Damage,No,5
S00308,Cyber Insurance,Data,10728.06,251781,Health,Yes,1
S00309,Gadget Insurance,Dog,2102.1,38610,Health,Yes,1
S00310,Pet Insurance,Mobile,8077.44,53616,Hacking,Yes,5
S00311,Cyber Insurance,Mobile,28361.57,561089,Health,No,2
S00312,Gadget Insurance,Mobile,7270.11,165522,Weather,Yes,4
S00313,Pet Insurance,Data,44617.0,1516978,Hacking,No,0
S00314,Crop Insurance,Laptop,32056.06,374649,Health,No,3
S00315,Pet Insurance,Mobile,47418.0,948360,Hacking,No,0
S00316,Crop Insurance,Dog,4640.08,147900,Hacking,No,3
S00317,Crop Insurance,Mobile,46591.0,605683,Theft,No,0
S00318,Pet Insurance,Data,15005.09,249000,Weather,No,5
S00319,Gadget Insurance,Mobile,24297.02,316104,Health,No,4
S00320,Cyber Insurance,Mobile,44034.61,1684296,Damage,No,3
S00321,Crop Insurance,Laptop,8571.57,62475,Damage,Yes,2
S00322,Crop Insurance,Agriculture,12631.0,63155,Hacking,No,0
S00323,Pet Insurance,Mobile,46724.0,981204,Weather,Yes,0
S00324,Gadget Insurance,Agriculture,42318.82,1663631,Hacking,No,3
S00325,Cyber Insurance,Agriculture,6388.58,192908,Health,No,2
S00326,Crop Insurance,Agriculture,42549.56,354432,Theft,No,2
S00327,Gadget Insurance,Mobile,37648.3,1207850,Weather,Yes,5
S00328,Crop Insurance,Dog,41300.14,639660,Damage,No,5
S00329,Crop Insurance,Agriculture,38215.06,1564249,Health,Yes,5
S00330,Gadget Insurance,Dog,30518.17,371382,Damage,No,5
S00331,Cyber Insurance,Agriculture,16590.56,128478,Health,No,5
S00332,Cyber Insurance,Dog,25154.31,139140,Damage,No,5
S00333,Cyber Insurance,Laptop,40401.57,700832,Theft,No,4
S00334,Gadget Insurance,Agriculture,16926.09,422976,Damage,No,2
S00335,Gadget Insurance,Mobile,15614.33,138192,Health,No,5
S00336,Pet Insurance,Cat,11059.97,241836,Weather,No,2
S00337,Cyber Insurance,Cat,31457.9,622345,Health,Yes,2
S00338,Cyber Insurance,Cat,23951.2,611000,Hacking,Yes,1
S00339,Cyber Insurance,Laptop,43311.64,1033054,Health,No,4
S00340,Gadget Insurance,Data,18113.67,781521,Weather,Yes,5
S00341,Crop Insurance,Cat,4328.0,112528,Health,Yes,0
S00342,Pet Insurance,Mobile,30724.27,620236,Weather,No,3
S00343,Cyber Insurance,Agriculture,6162.0,30810,Damage,No,0
S00344,Crop Insurance,Agriculture,10317.61,145418,Damage,No,4
S00345,Gadget Insurance,Agriculture,3447.59,69597,Theft,No,3
S00346,Pet Insurance,Mobile,4830.44,157110,Theft,No,4
S00347,Pet Insurance,Cat,28672.74,1074780,Theft,No,2
S00348,Gadget Insurance,Laptop,28723.3,305180,Damage,No,3
S00349,Crop Insurance,Cat,46066.55,479660,Health,No,2
S00350,Gadget Insurance,Cat,38554.0,308432,Damage,No,0
S00351,Gadget Insurance,Data,17453.0,104718,Health,No,0
S00352,Pet Insurance,Data,16483.1,227669,Damage,No,3
S00353,Pet Insurance,Data,40242.55,940654,Health,Yes,3
S00354,Pet Insurance,Agriculture,5513.01,85386,Hacking,No,5
S00355,Pet Insurance,Dog,42871.67,1347920,Theft,Yes,4
S00356,Crop Insurance,Mobile,29344.88,1038848,Theft,No,5
S00357,Gadget Insurance,Dog,29525.93,1184407,Health,No,4
S00358,Pet Insurance,Cat,8503.18,329245,Theft,Yes,5
S00359,Pet Insurance,Dog,28399.03,887100,Health,Yes,2
S00360,Crop Insurance,Data,15124.01,128552,Hacking,No,3
S00361,Pet Insurance,Cat,22517.0,720544,Weather,Yes,0
S00362,Gadget Insurance,Dog,9486.56,154275,Hacking,Yes,4
S00363,Crop Insurance,Agriculture,16063.04,417960,Hacking,No,4
S00364,Gadget Insurance,Dog,41539.0,1453865,Health,No,0
S00365,Crop Insurance,Mobile,25449.89,703875,Weather,No,5
S00366,Pet Insurance,Mobile,16903.32,329868,Weather,Yes,4
S00367,Gadget Insurance,Data,19700.69,553851,Damage,No,2
S00368,Gadget Insurance,Cat,3225.46,123372,Weather,No,3
S00369,Cyber Insurance,Mobile,36526.0,474838,Health,No,0
S00370,Cyber Insurance,Mobile,16976.28,396814,Damage,No,3
S00371,Pet Insurance,Dog,42390.2,229790,Health,No,4
S00372,Pet Insurance,Laptop,41443.85,539184,Weather,No,4
S00373,Cyber Insurance,Laptop,20952.0,796176,Damage,No,0
S00374,Pet Insurance,Cat,8634.0,98890,Theft,No,2
S00375,Crop Insurance,Mobile,27479.2,252360,Hacking,No,1
S00376,Crop Insurance,Data,15059.0,120472,Health,No,0
S00377,Cyber Insurance,Mobile,24897.88,863804,Health,Yes,1
S00378,Pet Insurance,Data,14108.4,265336,Weather,Yes,5
S00379,Crop Insurance,Agriculture,29517.6,722880,Theft,No,1
S00380,Gadget Insurance,Mobile,37532.43,429880,Weather,No,2
S00381,Gadget Insurance,Cat,13042.67,519444,Health,No,5
S00382,Cyber Insurance,Laptop,26702.06,217976,Theft,Yes,1
S00383,Gadget Insurance,Mobile,23764.98,893894,Damage,No,5
S00384,Pet Insurance,Laptop,47881.82,1319193,Health,No,1
S00385,Crop Insurance,Mobile,10347.35,172384,Weather,No,2
S00386,Pet Insurance,Data,41356.0,970600,Weather,No,1
S00387,Cyber Insurance,Laptop,40214.3,943805,Damage,No,1
S00388,Crop Insurance,Data,31085.6,1141920,Health,No,1
S00389,Crop Insurance,Data,19176.0,498576,Weather,No,0
S00390,Gadget Insurance,Mobile,28111.0,843330,Hacking,No,0
S00391,Pet Insurance,Cat,7796.0,38980,Damage,No,0
S00392,Gadget Insurance,Dog,39723.1,1240830,Damage,No,2
S00393,Pet Insurance,Mobile,7371.47,179410,Hacking,Yes,5
S00394,Gadget Insurance,Dog,24993.41,298067,Weather,Yes,4
S00395,Pet Insurance,Mobile,14602.0,342700,Hacking,Yes,1
S00396,Cyber Insurance,Dog,38421.88,392060,Theft,No,1
S00397,Pet Insurance,Cat,3995.26,108160,Damage,No,2
S00398,Cyber Insurance,Cat,3992.52,44814,Hacking,Yes,1
S00399,Pet Insurance,Mobile,33577.0,1242349,Health,Yes,0
S00400,Gadget Insurance,Mobile,25074.58,1060215,Health,Yes,4
S00401,Cyber Insurance,Laptop,33712.56,179095,Theft,No,3
S00402,Gadget Insurance,Mobile,47128.2,336630,Hacking,No,1
S00403,Crop Insurance,Laptop,16137.0,484110,Theft,No,0
S00404,Cyber Insurance,Cat,9539.92,222992,Damage,No,3
S00405,Crop Insurance,Agriculture,14410.16,468690,Theft,Yes,4
S00406,Crop Insurance,Dog,41356.92,351528,Damage,No,3
S00407,Crop Insurance,Mobile,30987.0,650727,Weather,No,0
S00408,Crop Insurance,Dog,11595.5,333528,Health,No,5
S00409,Crop Insurance,Dog,4712.14,104260,Damage,Yes,5
S00410,Gadget Insurance,Cat,42253.87,1481502,Hacking,No,3
