Policy_ID,Sub_Type,Vehicle_Type,Vehicle_Age,Annual_Premium,Coverage_Amount,No_Claim_Bonus,Accident_History,Claim_Status,No_Claim_Years
M00030,Third Party,Truck,11,26583.87,525920,20,Yes,No,2
M00031,Third Party,Truck,7,27862.16,638242,50,Yes,No,2
M00032,Comprehensive,Car,12,21236.6,130020,30,Yes,Yes,1
M00033,Comprehensive,Truck,14,15022.37,367103,20,Yes,No,3
M00034,Comprehensive,Car,11,25750.07,601898,40,No,No,3
M00035,Comprehensive,Car,1,3773.87,83500,50,No,No,5
M00036,Third Party,Bike,7,15564.61,223847,0,Yes,No,5
M00037,Third Party,Truck,4,19446.95,344224,50,Yes,No,5
M00038,Comprehensive,Car,8,7755.23,153425,30,No,No,2
M00039,Third Party,Car,12,20556.57,524184,10,No,No,3
M00040,Comprehensive,Car,0,19940.09,275418,20,No,Yes,3
M00041,Comprehensive,Bike,9,20905.0,376290,40,Yes,No,0
M00042,Comprehensive,Bike,12,28579.58,684434,20,No,Yes,2
M00043,Third Party,Car,14,7957.27,112151,30,No,No,4
M00044,Comprehensive,Car,7,6510.55,128801,40,No,No,2
M00045,Third Party,Truck,11,15449.67,335000,10,Yes,No,4
M00046,Comprehensive,Bike,11,15664.0,156640,50,No,No,0
M00047,Third Party,Bike,14,9649.08,147690,10,No,No,1
M00048,Comprehensive,Car,8,12098.08,231372,30,Yes,No,3
M00049,Third Party,Car,10,21639.0,346224,10,No,Yes,0
M00050,Comprehensive,Car,12,24233.81,128740,10,No,No,3
M00051,Third Party,Car,10,9379.08,145264,50,Yes,Yes,5
M00052,Comprehensive,Truck,12,11222.96,274848,0,No,No,1
M00053,Third Party,Car,13,17020.64,382096,30,No,Yes,1
M00054,Third Party,Car,4,9559.0,57354,10,No,No,0
M00055,Comprehensive,Car,7,7338.24,97344,0,No,No,1
M00056,Comprehensive,Car,4,25151.13,218144,30,Yes,No,4
M00057,Comprehensive,Truck,10,19304.04,334866,30,Yes,Yes,1
M00058,Comprehensive,Bike,2,8520.61,126742,40,Yes,No,3
M00059,Comprehensive,Car,6,20017.27,106340,20,Yes,No,3
M00060,Comprehensive,Truck,9,12835.04,190918,20,Yes,No,3
M00061,Comprehensive,Truck,11,10920.65,69618,20,No,Yes,3
M00062,Third Party,Car,5,18734.22,385909,30,Yes,No,4
M00063,Third Party,Truck,9,15970.49,133032,30,Yes,Yes,2
M00064,Third Party,Truck,2,19502.09,474650,0,Yes,No,5
M00065,Comprehensive,Car,3,26193.0,366702,40,No,No,0
M00066,Third Party,Truck,3,20814.46,265380,30,No,Yes,3
M00067,Comprehensive,Car,3,13231.96,229534,30,No,No,1
M00068,Comprehensive,Car,5,10010.52,223356,30,No,No,3
M00069,Comprehensive,Car,9,26846.12,136970,0,Yes,No,1
M00070,Third Party,Bike,10,19114.31,232606,40,No,Yes,5
M00071,Comprehensive,Car,2,26611.43,677120,0,No,No,5
M00072,Comprehensive,Bike,10,2864.53,31690,20,No,No,5
M00073,Comprehensive,Car,8,25729.9,367570,50,No,Yes,1
M00074,Third Party,Car,11,2873.46,58007,0,No,No,3
M00075,Third Party,Car,8,26050.09,259371,0,Yes,No,5
M00076,Third Party,Bike,2,25910.24,646093,30,Yes,No,4
M00077,Third Party,Car,8,26744.2,272900,30,No,No,1
M00078,Third Party,Car,1,9878.4,50400,40,No,No,1
M00079,Third Party,Car,4,13558.81,216090,0,Yes,Yes,3
M00080,Comprehensive,Car,5,12208.84,149496,10,Yes,No,1
M00081,Comprehensive,Car,4,28286.72,375232,40,Yes,No,1
M00082,Comprehensive,Car,1,11907.35,144903,0,No,No,5
M00083,Comprehensive,Bike,0,13290.57,338904,10,No,No,3
M00084,Comprehensive,Bike,12,21115.59,140160,30,No,No,5
M00085,Third Party,Truck,1,16969.31,413006,10,No,No,5
M00086,Comprehensive,Car,3,11959.73,63535,50,No,Yes,3
M00087,Comprehensive,Bike,4,17125.0,256875,20,No,No,0
M00088,Comprehensive,Car,4,26865.43,386373,20,Yes,No,5
M00089,Comprehensive,Bike,5,9593.55,145614,20,No,Yes,4
M00090,Comprehensive,Car,0,18838.45,367632,30,No,No,4
M00091,Comprehensive,Car,12,28392.56,405608,40,No,Yes,1
M00092,Comprehensive,Bike,1,13914.85,316806,40,No,No,4
M00093,Comprehensive,Truck,9,17695.86,343083,50,No,No,1
M00094,Comprehensive,Truck,10,18941.0,454584,0,Yes,Yes,0
M00095,Third Party,Car,10,18046.42,441002,0,Yes,No,3
M00096,Third Party,Car,2,7090.94,37670,0,No,Yes,3
M00097,Comprehensive,Car,1,14699.54,78090,20,Yes,Yes,3
M00098,Third Party,Truck,10,18165.12,433268,40,No,No,4
M00099,Comprehensive,Bike,0,13993.0,307846,30,Yes,No,0
M00100,Comprehensive,Car,13,6286.86,143136,50,No,No,4
M00101,Third Party,Bike,9,17646.75,172188,20,Yes,No,4
M00102,Comprehensive,Bike,1,20850.0,458700,50,No,Yes,0
M00103,Comprehensive,Car,5,3096.0,65016,40,Yes,No,0
M00104,Third Party,Car,6,9467.0,94670,10,No,No,0
M00105,Third Party,Car,11,8251.0,49506,20,No,No,0
M00106,Third Party,Car,6,12115.96,193095,40,No,No,3
M00107,Third Party,Car,13,14249.45,118696,10,Yes,No,2
M00108,Comprehensive,Bike,7,23434.72,536822,50,No,Yes,2
M00109,Third Party,Bike,12,14412.0,201768,0,No,No,0
M00110,Comprehensive,Car,0,20572.73,321315,40,No,No,2
M00111,Third Party,Car,9,19454.82,222827,50,No,No,2
M00112,Comprehensive,Car,9,5770.0,115400,30,Yes,Yes,0
M00113,Third Party,Car,13,27851.6,348000,20,Yes,No,2
M00114,Third Party,Bike,1,12786.79,152493,30,No,No,4
M00115,Third Party,Truck,4,22344.0,342000,40,Yes,No,1
M00116,Comprehensive,Car,2,23291.66,356505,20,No,No,1
M00117,Comprehensive,Car,14,24165.0,362475,0,No,No,0
M00118,Third Party,Bike,4,7289.53,100685,20,No,No,3
M00119,Comprehensive,Bike,0,18265.0,91325,20,No,No,0
M00120,Third Party,Bike,2,6017.98,121486,50,No,No,3
M00121,Comprehensive,Car,11,27648.74,366769,50,No,No,1
M00122,Comprehensive,Car,7,5779.0,57790,50,Yes,No,0
M00123,Comprehensive,Car,6,26557.19,381940,10,No,No,5
M00124,Third Party,Car,3,27145.29,206010,0,Yes,Yes,4
M00125,Third Party,Truck,1,12878.0,201135,40,No,No,2
M00126,Comprehensive,Car,13,10337.11,98847,40,Yes,No,3
M00127,Comprehensive,Car,14,10069.68,66840,40,No,No,5
M00128,Third Party,Truck,12,7251.02,128350,50,No,Yes,2
M00129,Comprehensive,Truck,11,7976.12,199320,20,No,No,2
M00130,Comprehensive,Car,7,7397.0,44382,50,Yes,Yes,0
M00131,Third Party,Bike,3,3483.37,83421,0,No,No,2
M00132,Third Party,Car,6,6950.04,135630,20,Yes,No,4
M00133,Comprehensive,Truck,0,5165.91,108585,40,No,No,5
M00134,Comprehensive,Bike,9,6163.85,147614,20,No,No,2
M00135,Comprehensive,Car,1,18029.0,180290,10,No,No,0
M00136,Comprehensive,Car,14,15870.27,137648,20,Yes,Yes,4
M00137,Third Party,Truck,13,17212.72,158076,50,Yes,No,1
M00138,Third Party,Truck,7,8702.05,134778,0,No,No,5
M00139,Comprehensive,Car,10,27460.72,629046,0,No,Yes,2
M00140,Third Party,Car,9,20619.0,144333,0,Yes,No,0
M00141,Comprehensive,Car,0,23967.86,342398,10,No,No,1
M00142,Third Party,Car,10,20315.4,145110,10,Yes,No,1
M00143,Third Party,Bike,14,7005.29,74430,40,No,No,3
M00144,Comprehensive,Car,2,8665.65,140925,10,No,Yes,4
M00145,Comprehensive,Car,5,7626.54,158820,30,Yes,Yes,2
M00146,Third Party,Truck,8,7993.0,87923,10,No,Yes,0
M00147,Comprehensive,Truck,12,5539.86,105948,50,Yes,No,3
M00148,Comprehensive,Truck,4,12584.79,81864,0,No,Yes,4
M00149,Comprehensive,Car,14,15940.97,338740,40,Yes,Yes,3
M00150,Comprehensive,Car,14,15222.03,168400,30,No,No,5
M00151,Third Party,Truck,5,23873.66,491777,30,No,No,4
M00152,Comprehensive,Bike,7,14606.62,364228,10,No,No,4
M00153,Third Party,Bike,5,5644.27,135171,30,No,No,2
M00154,Comprehensive,Truck,1,24869.81,593186,50,No,No,4
M00155,Comprehensive,Car,8,16056.74,375320,0,Yes,Yes,3
M00156,Comprehensive,Car,2,24985.11,650112,10,No,Yes,4
M00157,Third Party,Bike,5,10589.37,264624,40,Yes,Yes,2
M00158,Comprehensive,Bike,1,24503.65,408224,10,No,Yes,2
M00159,Third Party,Car,1,9695.45,75082,50,Yes,No,5
M00160,Comprehensive,Bike,11,26469.14,590583,10,No,No,3
M00161,Third Party,Bike,13,8267.28,42180,30,No,Yes,1
M00162,Comprehensive,Car,8,19847.94,101265,20,No,No,1
M00163,Third Party,Car,7,4645.05,55396,50,Yes,Yes,4
M00164,Third Party,Car,0,3730.48,41270,40,No,No,5
M00165,Third Party,Bike,2,20815.0,395485,40,Yes,No,0
M00166,Comprehensive,Car,2,3078.86,80112,50,Yes,Yes,4
M00167,Third Party,Bike,5,25205.83,167310,20,No,No,5
M00168,Comprehensive,Bike,2,23087.44,269830,50,Yes,No,3
M00169,Third Party,Car,10,20247.86,215130,20,No,No,3
M00170,Comprehensive,Bike,8,14690.12,312160,30,Yes,No,3
M00171,Comprehensive,Car,1,5127.61,87168,10,Yes,No,3
M00172,Third Party,Car,4,13635.99,347712,20,No,No,3
M00173,Comprehensive,Truck,8,15815.0,297432,10,Yes,Yes,5
M00174,Comprehensive,Bike,13,11953.45,317376,0,No,Yes,5
M00175,Comprehensive,Car,4,3938.6,41010,40,No,No,2
M00176,Comprehensive,Car,9,13553.4,152130,40,No,Yes,1
M00177,Comprehensive,Car,9,24887.94,475974,40,No,No,3
M00178,Comprehensive,Bike,1,29670.0,563730,30,No,No,0
M00179,Third Party,Car,8,20880.57,300300,20,No,Yes,5
M00180,Third Party,Car,3,3576.0,75096,20,No,No,0
M00181,Third Party,Truck,2,10669.0,181373,20,No,Yes,0
M00182,Comprehensive,Bike,1,27911.0,195377,50,Yes,No,0
M00183,Comprehensive,Bike,6,13611.75,283460,10,No,No,2
M00184,Comprehensive,Bike,10,26789.5,148185,50,No,No,5
M00185,Third Party,Bike,0,20190.0,222090,40,Yes,No,0
M00186,Third Party,Car,9,19706.68,355946,20,Yes,Yes,3
M00187,Comprehensive,Truck,7,13407.54,116288,20,No,Yes,4
M00188,Third Party,Truck,13,27515.0,385210,30,Yes,No,0
M00189,Comprehensive,Car,14,14476.11,211022,20,Yes,No,2
M00190,Comprehensive,Truck,7,19985.69,110550,20,No,No,5
M00191,Third Party,Bike,2,21240.21,176928,50,No,No,2
M00192,Comprehensive,Truck,2,9397.0,169146,30,Yes,Yes,0
M00193,Third Party,Car,5,11091.11,196320,50,Yes,No,5
M00194,Comprehensive,Bike,13,6380.02,110672,20,No,No,4
M00195,Third Party,Truck,12,21587.0,107935,10,Yes,Yes,0
M00196,Third Party,Car,6,17314.09,234364,40,No,No,2
M00197,Comprehensive,Car,7,22872.22,256729,20,No,No,1
M00198,Comprehensive,Bike,3,22329.78,569400,20,No,No,3
M00199,Third Party,Bike,5,20157.84,104945,0,No,No,2
M00200,Comprehensive,Car,14,12210.16,94556,20,No,No,5
M00201,Comprehensive,Bike,9,4181.0,91982,40,No,No,0
M00202,Third Party,Truck,13,10650.53,248952,50,No,Yes,3
M00203,Third Party,Truck,14,10310.0,134030,50,No,Yes,0
M00204,Comprehensive,Truck,13,3230.61,46462,0,No,No,5
M00205,Third Party,Bike,4,21630.0,519120,30,Yes,Yes,0
M00206,Comprehensive,Bike,11,25003.72,153084,30,No,Yes,1
M00207,Third Party,Truck,9,8352.14,204102,20,No,No,3
M00208,Third Party,Bike,13,2984.52,38052,10,No,No,3
M00209,Third Party,Truck,5,20629.28,273864,40,No,No,5
M00210,Third Party,Bike,10,13599.46,194278,10,No,No,1
M00211,Comprehensive,Car,9,27140.9,169560,40,No,No,2
M00212,Comprehensive,Truck,9,11360.0,193120,30,No,No,0
M00213,Comprehensive,Bike,5,20471.04,399492,10,No,No,4
M00214,Comprehensive,Truck,12,5302.0,79530,40,No,Yes,0
M00215,Comprehensive,Car,8,4330.0,64950,0,No,No,0
M00216,Third Party,Bike,14,23498.11,244670,20,No,No,2
M00217,Comprehensive,Bike,4,19250.0,115500,40,No,No,0
M00218,Third Party,Car,11,25955.3,582670,30,No,No,1
M00219,Comprehensive,Car,9,5187.14,52930,30,No,No,1
M00220,Comprehensive,Bike,9,4398.19,98133,10,No,Yes,3
M00221,Third Party,Bike,4,5779.67,31970,10,No,No,5
M00222,Third Party,Car,12,19572.65,403180,40,No,Yes,4
M00223,Third Party,Bike,4,22388.0,335820,10,Yes,No,0
M00224,Third Party,Bike,0,14920.0,358080,20,No,Yes,0
M00225,Third Party,Bike,5,13127.71,328056,30,No,No,2
M00226,Comprehensive,Truck,2,9080.79,210966,50,No,No,5
M00227,Comprehensive,Bike,1,28654.22,497063,40,No,No,1
M00228,Third Party,Car,10,4092.55,35496,0,No,No,4
M00229,Comprehensive,Car,5,18217.71,348408,20,Yes,No,3
M00230,Comprehensive,Car,2,7215.74,88356,10,No,Yes,1
M00231,Comprehensive,Bike,1,21829.69,169050,50,No,No,5
M00232,Third Party,Car,2,14474.59,153790,10,No,Yes,3
M00233,Comprehensive,Car,11,22700.97,354555,50,Yes,No,2
M00234,Third Party,Car,3,10743.03,134232,50,No,No,2
M00235,Third Party,Car,12,15742.0,267614,40,No,Yes,0
M00236,Comprehensive,Car,8,23974.69,212184,40,No,No,5
M00237,Comprehensive,Car,14,6245.35,74481,30,No,Yes,4
M00238,Comprehensive,Car,5,28026.82,268002,10,No,No,3
M00239,Comprehensive,Bike,10,13481.86,330168,0,No,No,1
M00240,Comprehensive,Bike,11,11794.36,287056,50,No,Yes,5
M00241,Comprehensive,Truck,0,23954.81,291511,40,No,No,5
M00242,Third Party,Car,1,13537.8,267824,50,No,No,2
M00243,Third Party,Car,4,14259.0,171108,0,Yes,No,0
M00244,Comprehensive,Truck,8,17749.0,124243,0,No,No,0
M00245,Comprehensive,Car,4,20498.22,326685,20,No,Yes,3
M00246,Comprehensive,Car,2,27467.44,171600,30,Yes,Yes,2
M00247,Third Party,Car,7,26210.99,666931,40,No,No,5
M00248,Comprehensive,Car,9,15349.13,166410,50,Yes,No,4
M00249,Comprehensive,Car,12,25915.43,647616,40,No,Yes,2
M00250,Comprehensive,Truck,12,2351.1,32474,30,Yes,No,3
M00251,Comprehensive,Bike,12,20052.1,490015,20,No,No,3
M00252,Third Party,Car,6,22739.39,307801,10,No,No,2
M00253,Comprehensive,Car,11,25819.72,411495,40,No,No,3
M00254,Comprehensive,Car,1,19762.15,349809,20,Yes,Yes,2
M00255,Third Party,Car,2,5224.38,117282,50,No,No,1
M00256,Comprehensive,Truck,5,13108.5,191086,0,No,No,2
M00257,Comprehensive,Car,7,26546.42,386974,50,No,Yes,2
M00258,Third Party,Car,11,24375.93,466182,0,No,No,3
M00259,Comprehensive,Bike,13,11324.42,120320,50,No,No,3
M00260,Comprehensive,Car,7,23297.0,396049,40,Yes,No,0
M00261,Third Party,Truck,0,22025.0,110125,20,Yes,Yes,0
M00262,Comprehensive,Car,1,25721.08,236214,40,Yes,No,1
M00263,Third Party,Car,11,11441.0,240261,20,Yes,No,0
M00264,Comprehensive,Bike,12,18183.25,94665,50,No,Yes,2
M00265,Comprehensive,Truck,10,18386.19,195350,50,No,No,3
M00266,Comprehensive,Car,10,22739.0,204651,40,Yes,No,0
M00267,Comprehensive,Bike,3,21953.0,373201,40,No,No,0
M00268,Comprehensive,Truck,10,19302.08,216656,10,No,Yes,1
M00269,Comprehensive,Car,4,5370.19,71292,20,No,Yes,5
M00270,Comprehensive,Bike,3,9095.38,194901,50,No,No,1
M00271,Comprehensive,Car,2,23223.43,386896,40,No,No,2
M00272,Third Party,Car,9,20278.92,301644,40,Yes,No,3
M00273,Third Party,Bike,10,21439.46,218770,40,No,No,1
M00274,Comprehensive,Truck,2,20996.0,314940,0,Yes,No,0
M00275,Comprehensive,Car,11,13673.64,87168,0,No,Yes,3
M00276,Third Party,Bike,4,12474.56,225318,0,No,No,3
M00277,Third Party,Bike,2,29194.0,525492,30,No,No,0
M00278,Comprehensive,Truck,1,23787.54,169911,50,No,No,1
M00279,Comprehensive,Car,10,26553.0,557613,10,No,No,0
M00280,Comprehensive,Bike,6,8362.17,185020,0,Yes,No,5
M00281,Comprehensive,Car,3,15582.37,198672,10,No,Yes,3
M00282,Comprehensive,Bike,2,6833.83,88908,0,No,No,4
M00283,Third Party,Bike,11,20381.57,176776,40,No,No,4
M00284,Comprehensive,Car,10,19794.8,267943,30,No,No,2
M00285,Third Party,Truck,7,18074.0,144592,20,No,Yes,0
M00286,Third Party,Car,3,19056.0,438288,40,No,No,0
M00287,Third Party,Bike,14,8997.99,196749,10,No,No,2
M00288,Comprehensive,Car,3,5845.95,115653,30,No,No,2
M00289,Comprehensive,Car,0,22264.95,208647,40,No,No,2
M00290,Comprehensive,Car,9,24656.41,183379,10,No,Yes,3
M00291,Comprehensive,Car,5,8849.38,127270,30,Yes,No,5
M00292,Comprehensive,Truck,12,27210.0,598620,30,No,Yes,0
M00293,Comprehensive,Bike,11,22497.31,382448,30,Yes,No,3
M00294,Third Party,Car,2,4205.59,43790,10,No,No,2
M00295,Third Party,Bike,12,10830.0,97470,30,No,Yes,0
M00296,Comprehensive,Truck,6,17728.29,414392,30,No,No,3
M00297,Comprehensive,Car,0,8514.03,75352,40,No,No,5
M00298,Comprehensive,Car,9,11152.18,189584,0,No,Yes,3
M00299,Comprehensive,Truck,8,23146.7,588961,40,No,No,5
M00300,Comprehensive,Truck,9,3128.02,48855,20,No,No,2
M00301,Comprehensive,Car,5,11526.8,127520,30,No,No,5
M00302,Comprehensive,Bike,10,4956.0,64428,40,No,No,0
M00303,Comprehensive,Bike,3,15031.22,203463,20,No,Yes,2
M00304,Third Party,Car,6,18334.0,385014,20,Yes,Yes,0
M00305,Third Party,Truck,11,24202.02,236151,50,No,No,4
M00306,Comprehensive,Car,1,8895.46,63539,50,No,No,1
M00307,Third Party,Bike,5,2220.93,58968,0,No,Yes,5
M00308,Comprehensive,Bike,13,16175.88,363132,10,No,No,1
M00309,Comprehensive,Truck,0,25411.4,622320,50,Yes,No,1
M00310,Third Party,Car,0,25701.18,483361,40,No,No,5
M00311,Comprehensive,Car,13,23282.98,533346,30,No,No,2
M00312,Comprehensive,Bike,11,20008.93,216930,40,No,No,4
M00313,Third Party,Bike,9,29532.0,620172,50,No,No,0
M00314,Third Party,Truck,1,26028.66,497790,10,No,Yes,3
M00315,Comprehensive,Bike,11,13730.0,315790,20,No,Yes,0
M00316,Comprehensive,Car,7,5001.49,122222,30,No,Yes,3
M00317,Third Party,Car,9,20743.0,414860,20,No,Yes,0
M00318,Comprehensive,Truck,8,20010.09,287781,10,Yes,Yes,5
M00319,Third Party,Bike,14,22325.0,363060,10,No,No,4
M00320,Comprehensive,Bike,7,22520.84,574272,50,No,No,3
M00321,Third Party,Car,11,21380.42,244882,40,No,Yes,2
M00322,Comprehensive,Car,13,10591.0,116501,40,No,No,0
M00323,Comprehensive,Truck,6,7428.0,81708,10,No,No,0
M00324,Third Party,Bike,3,22658.26,385184,0,Yes,No,3
M00325,Comprehensive,Car,10,28724.6,508453,50,No,No,2
M00326,Comprehensive,Car,5,2308.8,28848,40,Yes,Yes,2
M00327,Comprehensive,Truck,11,8825.88,97640,30,Yes,Yes,5
M00328,Comprehensive,Truck,3,21979.74,364740,0,No,No,5
M00329,Comprehensive,Bike,2,3214.34,46228,30,No,Yes,5
M00330,Comprehensive,Bike,8,11346.01,288696,40,No,No,5
M00331,Comprehensive,Bike,1,11440.02,139216,40,No,Yes,5
M00332,Comprehensive,Car,12,10352.6,137436,50,No,No,5
M00333,Comprehensive,Truck,6,20364.97,309106,30,No,No,4
M00334,Third Party,Truck,11,2717.93,19810,0,Yes,No,2
M00335,Third Party,Bike,5,7097.59,172744,0,No,No,5
M00336,Comprehensive,Bike,7,27824.71,434580,0,No,Yes,2
M00337,Third Party,Truck,3,7053.18,58752,20,No,No,2
M00338,Comprehensive,Bike,11,9833.32,180612,40,No,No,1
M00339,Comprehensive,Car,9,11450.28,223452,10,Yes,Yes,4
M00340,Comprehensive,Car,13,25604.46,566520,0,No,No,5
M00341,Third Party,Car,4,11047.0,187799,0,No,No,0
M00342,Third Party,Car,9,18159.36,250822,40,No,No,3
M00343,Comprehensive,Car,12,13053.0,208848,0,Yes,No,0
M00344,Comprehensive,Car,2,10596.17,229760,0,No,No,4
M00345,Third Party,Bike,2,12689.15,283122,20,No,No,3
M00346,Comprehensive,Car,13,13872.42,270720,10,No,No,4
M00347,Comprehensive,Truck,9,16957.78,388454,30,No,No,2
M00348,Comprehensive,Truck,0,6520.58,124704,0,Yes,No,3
M00349,Comprehensive,Bike,14,10918.79,102321,20,Yes,No,2
M00350,Third Party,Car,14,18820.0,188200,20,Yes,No,0
M00351,Comprehensive,Bike,12,17875.0,107250,40,No,Yes,0
M00352,Comprehensive,Truck,9,4710.67,55055,0,No,No,3
M00353,Comprehensive,Bike,5,21741.54,415800,50,Yes,No,3
M00354,Comprehensive,Car,10,5551.88,122840,40,No,No,5
M00355,Comprehensive,Car,5,8197.09,106644,30,Yes,No,4
M00356,Third Party,Car,8,21766.41,168560,30,No,No,5
M00357,Comprehensive,Bike,2,27317.78,266553,30,No,No,4
M00358,Comprehensive,Car,3,3076.04,44239,40,No,No,5
M00359,Third Party,Car,1,13675.14,71195,40,Yes,No,2
M00360,Comprehensive,Bike,14,3175.58,70854,40,No,No,3
M00361,Comprehensive,Car,14,23627.0,378032,40,No,Yes,0
M00362,Comprehensive,Car,11,23392.18,202888,30,Yes,No,4
M00363,Third Party,Car,4,24235.22,499225,50,Yes,No,4
M00364,Third Party,Car,4,4307.0,51684,20,No,No,0
M00365,Third Party,Car,12,4630.79,35861,40,Yes,Yes,5
M00366,Comprehensive,Car,14,2841.82,61620,40,No,No,4
M00367,Comprehensive,Bike,2,10951.44,205254,0,No,No,2
M00368,Comprehensive,Car,5,15738.61,367884,0,No,No,3
M00369,Comprehensive,Car,0,26524.0,636576,50,No,Yes,0
M00370,Third Party,Car,10,15110.84,208715,20,Yes,No,3
M00371,Comprehensive,Bike,5,3995.7,86640,50,No,Yes,4
M00372,Comprehensive,Car,8,26013.55,169218,20,No,Yes,4
M00373,Comprehensive,Truck,1,6406.0,32030,10,Yes,Yes,0
M00374,Comprehensive,Truck,10,1943.85,24288,40,No,No,2
M00375,Third Party,Car,3,21558.04,285974,40,No,No,1
M00376,Third Party,Car,11,20438.0,122628,50,Yes,No,0
M00377,Third Party,Car,12,8541.68,139456,30,No,No,1
M00378,Third Party,Truck,13,22346.73,197776,0,No,No,5
M00379,Comprehensive,Truck,12,17403.82,106554,0,No,No,1
M00380,Comprehensive,Car,10,27896.74,493799,30,No,Yes,2
M00381,Third Party,Bike,11,5971.3,112302,50,Yes,Yes,5
M00382,Comprehensive,Car,3,21268.94,477466,10,Yes,Yes,1
M00383,Comprehensive,Bike,14,11329.74,225612,40,Yes,No,5
M00384,Comprehensive,Bike,1,4945.08,121104,30,No,No,1
M00385,Comprehensive,Bike,5,14237.93,148250,10,No,No,2
M00386,Third Party,Bike,6,23579.78,577464,10,Yes,No,1
M00387,Comprehensive,Car,12,20033.16,204420,0,No,No,1
M00388,Comprehensive,Bike,7,8513.26,112931,20,Yes,No,1
M00389,Third Party,Car,6,5663.0,62293,40,No,No,0
M00390,Third Party,Car,4,20121.0,301815,40,No,No,0
M00391,Third Party,Truck,13,28941.0,231528,30,Yes,No,0
M00392,Third Party,Truck,2,13940.21,246755,40,No,No,2
M00393,Third Party,Car,1,17177.21,209033,10,Yes,No,5
M00394,Comprehensive,Truck,8,2313.3,57684,20,No,No,4
M00395,Third Party,Car,14,2127.58,26052,20,No,No,1
M00396,Third Party,Car,4,25369.26,543627,20,Yes,No,1
M00397,Comprehensive,Truck,3,23141.8,337344,0,Yes,No,2
M00398,Comprehensive,Bike,9,13951.28,242012,0,No,Yes,1
M00399,Comprehensive,Car,7,21353.0,192177,40,Yes,No,0
M00400,Third Party,Truck,0,16315.77,300713,10,No,No,4
M00401,Third Party,Bike,11,18015.36,306256,40,No,No,3
M00402,Third Party,Bike,13,2262.82,34635,50,No,No,1
M00403,Comprehensive,Bike,0,28176.0,676224,20,No,No,0
M00404,Comprehensive,Bike,12,28166.11,508742,40,Yes,No,3
M00405,Comprehensive,Car,2,22719.77,591168,50,Yes,No,4
M00406,Comprehensive,Car,0,8480.14,198220,40,Yes,Yes,3
M00407,Third Party,Car,4,4949.0,74235,50,Yes,No,0
M00408,Comprehensive,Car,0,23410.64,155394,40,No,Yes,5
M00409,Comprehensive,Bike,10,21591.96,334418,0,Yes,No,5
M00410,Third Party,Bike,14,8571.44,145712,30,No,No,3
M00411,Comprehensive,Car,9,14231.21,88908,10,No,No,2
M00412,Comprehensive,Car,3,15652.02,365860,0,No,No,3
M00413,Comprehensive,Truck,10,24875.34,609192,40,No,Yes,1
M00414,Comprehensive,Car,0,9233.56,179018,30,No,No,1
M00415,Comprehensive,Bike,9,27094.12,359688,0,No,No,5
M00416,Third Party,Car,8,13332.27,180466,40,Yes,No,2
M00417,Third Party,Truck,3,13470.0,228990,0,No,Yes,0
M00418,Comprehensive,Car,3,20229.16,392198,40,No,No,1
M00419,Comprehensive,Car,11,8908.14,137970,50,No,Yes,5
M00420,Comprehensive,Car,3,17049.98,277275,50,No,Yes,4
